povredom	povreda	Ncfsi
te	te	Cc
rokova	rok	Ncmpg
u	u	Sa
svrhu	svrha	Ncfsa
otklanjanja	otklanjanje	Ncnsg
negativnih	negativan	Agpmpgy
učinaka	učinak	Ncmpg
njenog	njen	Agpnsgy
postupanja	postupanje	Ncnsg
ili	ili	Cc
propuštanja	propuštanje	Ncnsg
postupanja	postupanje	Ncnsg
na	na	Sa
tržišno	tržišni	Agpnsay
natjecanje	natjecanje	Ncnsa
iz	iz	Sg
članka	članak	Ncmsg
49.	49.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ZZTN-a	ZZTN	Npmsg
podliježe	podlijegati	Vmr3s
obvezi	obveza	Ncfsd
naplate	naplata	Ncfsg
upravne	upravan	Agpfsgy
pristojbe	pristojba	Ncfsg
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
5.000,00	5.000,00	Mdc
kuna	kuna	Ncfpg
,	,	Z
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
2.	2.	Mdo
,	,	Z
odnosno	odnosno	Rgp
tarifnom	tarifan	Agpmsly
broju	broj	Ncmsl
106.	106.	Mdo
točki	točka	Ncfsl
4.	4.	Mdo
Uredbe	uredba	Ncfsg
o	o	Sl
izmjeni	izmjena	Ncfsl
Tarife	tarifa	Ncfsg
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpfply
pristojbama	pristojba	Ncfpl
.	.	Z

Upravna	upravan	Agpfsny
pristojba	pristojba	Ncfsn
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
30.000,00	30.000,00	Mdc
kuna	kuna	Ncfpg
za	za	Sa
rješenje	rješenje	Ncnsa
Agencije	agencija	Ncfsg
o	o	Sl
prihvaćanju	prihvaćanje	Ncnsl
predloženih	predložen	Agpfpgy
mjera	mjera	Ncfpg
,	,	Z
uvjeta	uvjet	Ncmpg
i	i	Cc
rokova	rok	Ncmpg
koji	koji	Pi-mpn
postaju	postati	Vmr3p
obvezni	obvezan	Agpmpny
za	za	Sa
predlagatelja	predlagatelj	Ncmsay
,	,	Z
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
49.	49.	Mdo
stavaka	stavak	Ncmpg
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ZZTN-a	ZZTN	Npmsg
,	,	Z
naplaćuje	naplaćivati	Vmr3s
se	sebe	Px--sa
sukladno	sukladno	Rgp
članku	članak	Ncmsd
3.	3.	Mdo
,	,	Z
odnosno	odnosno	Rgp
tarifnom	tarifan	Agpmsly
broju	broj	Ncmsl
107.	107.	Mdo
točki	točka	Ncfsl
7.	7.	Mdo
Uredbe	uredba	Ncfsg
o	o	Sl
izmjeni	izmjena	Ncfsl
Tarife	tarifa	Ncfsg
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpfply
pristojbama	pristojba	Ncfpl
.	.	Z

Navedeni	naveden	Agpmsny
iznos	iznos	Ncmsn
uplaćuje	uplaćivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
osam	osam	Mlc
(	(	Z
8	8	Mdc
)	)	Z
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
dostave	dostava	Ncfsg
ovog	ovaj	Pd-nsg
rješenja	rješenje	Ncnsg
u	u	Sa
korist	korist	Ncfsa
Državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
na	na	Sa
račun	račun	Ncmsan
broj	broj	Ncmsan
:	:	Z
HR1210010051863000160	HR1210010051863000160	Mds
,	,	Z
model	model	Ncmsn
HR64	HR64	X
,	,	Z
poziv	poziv	Ncmsan
na	na	Sa
broj	broj	Ncmsan
odobrenja	odobrenje	Ncnsg
:	:	Z
5002	5002	Mdc
-	-	Z
20833	20833	Mdc
-	-	Z
(	(	Z
OIB	oib	Ncmsn
uplatitelja	uplatitelj	Ncmpg
)	)	Z
.	.	Z

Sukladno	sukladno	Rgp
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
16.	16.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpfply
pristojbama	pristojba	Ncfpl
,	,	Z
nakon	nakon	Sg
izvršene	izvršen	Agpfsgy
uplate	uplata	Ncfsg
obveznik	obveznik	Ncmsn
uplate	uplata	Ncfsg
je	biti	Var3s
dužan	dužan	Agpmsnn
uplatnicu	uplatnica	Ncfsa
,	,	Z
kao	kao	Cs
dokaz	dokaz	Ncmsn
o	o	Sl
obavljenoj	obaviti	Agpfsly
uplati	uplata	Ncfsl
upravne	upravan	Agpfsgy
pristojbe	pristojba	Ncfsg
,	,	Z
žurno	žurno	Rgp
,	,	Z
a	a	Cc
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
osam	osam	Mlc
(	(	Z
8	8	Mdc
)	)	Z
dana	dan	Ncmpg
,	,	Z
dostaviti	dostaviti	Vmn
Agenciji	agencija	Ncfsl
s	sa	Si
pozivom	poziv	Ncmsi
na	na	Sa
poslovni	poslovan	Agpmsayn
broj	broj	Ncmsan
klase	klasa	Ncfsg
:	:	Z
UP	up	Ncmsn
/	/	Z
I	i	Cc
034	034	Mdc
-	-	Z
03/2014	03/2014	Mdc
-	-	Z
01/023.	01/023.	Mds

Ukoliko	ukoliko	Cs
obveznik	obveznik	Ncmsn
uplate	uplata	Ncfsg
upravne	upravan	Agpfsgy
pristojbe	pristojba	Ncfsg
ne	ne	Qz
izvrši	izvršiti	Vmr3s
uplatu	uplata	Ncfsa
upravne	upravan	Agpfsgy
pristojbe	pristojba	Ncfsg
Agencija	agencija	Ncfsn
će	htjeti	Var3s
,	,	Z
protekom	protek	Ncmsi
roka	rok	Ncmsg
,	,	Z
od	od	Sg
nadležne	nadležan	Agpfsgy
Porezne	porezni	Agpfsgy
uprave	uprava	Ncfsg
,	,	Z
sukladno	sukladno	Rgp
članku	članak	Ncmsl
10.	10.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpfply
pristojbama	pristojba	Ncfpl
,	,	Z
zatražiti	zatražiti	Vmn
prisilnu	prisilan	Agpfsay
naplatu	naplata	Ncfsa
upravne	upravan	Agpfsgy
pristojbe	pristojba	Ncfsg
.	.	Z

Slijedom	slijed	Ncmsi
iznijetoga	iznijeti	Ncfsg
,	,	Z
odlučeno	odlučiti	Appnsny
je	biti	Var3s
kao	kao	Cs
u	u	Sl
točki	točka	Ncfsl
7.	7.	Mdo
izreke	izreka	Ncfsg
ovoga	ovaj	Pd-nsg
rješenja	rješenje	Ncnsg
.	.	Z

3.3.	3.3.	Mdo

Sukladno	sukladno	Rgp
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
59.	59.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ZZTN-a	ZZTN	Npmsg
,	,	Z
a	a	Cc
u	u	Sl
svezi	sveza	Ncfsl
s	sa	Si
člankom	članak	Ncmsi
58.	58.	Mdo
stavkom	stavak	Ncmsi
1.	1.	Mdo
točkom	točka	Ncfsi
9.	9.	Mdo
ZZTN-a	ZZTN	Npmsg
,	,	Z
rješenje	rješenje	Ncnsn
će	htjeti	Var3s
biti	biti	Van
objavljeno	objaviti	Appnsny
u	u	Sl
»		Agpfply
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
,	,	Z
dok	dok	Cs
će	htjeti	Var3s
se	sebe	Px--sa
na	na	Sl
temelju	temelj	Ncmsl
članka	članak	Ncmsg
59.	59.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ZZTN-a	ZZTN	Npmsg
,	,	Z
predmetno	predmetni	Agpnsny
rješenje	rješenje	Ncnsn
objaviti	objaviti	Vmn
na	na	Sl
internetskoj	internetski	Agpfsly
stranici	stranica	Ncfsl
Agencije	agencija	Ncfsg
.	.	Z

Stoga	stoga	Rgp
je	biti	Var3s
Agencija	agencija	Ncfsn
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
odluke	odluka	Ncfsg
Vijeća	vijeće	Ncnsg
,	,	Z
odlučila	odlučiti	Vmp-sf
kao	kao	Cs
u	u	Sl
točki	točka	Ncfsl
8.	8.	Mdo
izreke	izreka	Ncfsg
ovoga	ovaj	Pd-nsg
rješenja	rješenje	Ncnsg
.	.	Z

UPUTA	uputa	Ncfsn
O	o	Sl
PRAVNOM	pravni	Agpmsly
LIJEKU	lijek	Ncmsl

Protiv	protiv	Sg
ovoga	ovaj	Pd-nsg
rješenja	rješenje	Ncnsg
nije	biti	Var3s
dopuštena	dopustiti	Appfsny
žalba	žalba	Ncfsn
,	,	Z
ali	ali	Cc
nezadovoljna	nezadovoljan	Agpfsny
stranka	stranka	Ncfsn
može	moći	Vmr3s
tužbom	tužba	Ncfsi
pokrenuti	pokrenuti	Vmn
upravni	upravan	Agpmsayn
spor	spor	Ncmsan
pred	pred	Si
Visokim	visok	Agpmsiy
upravnim	upravan	Agpmsiy
sudom	sud	Ncmsi
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
trideset	trideset	Mlc
(	(	Z
30	30	Mdc
)	)	Z
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
dostave	dostava	Ncfsg
ovoga	ovaj	Pd-nsg
rješenja	rješenje	Ncnsg
.	.	Z

Napomena	napomena	Ncfsn
:	:	Z

Sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
53.	53.	Mdo

ZZTN-a	ZZTN	Npmsg
,	,	Z
podaci	podatak	Ncmpn
koji	koji	Pi-mpn
predstavljaju	predstavljati	Vmr3p
poslovnu	poslovan	Agpfsay
tajnu	tajna	Ncfsa
izuzeti	izuzeti	Vmn
su	biti	Var3p
od	od	Sg
objavljivanja	objavljivanje	Ncnsg
te	te	Cc
su	biti	Var3p
u	u	Sl
tekstu	tekst	Ncmsl
navedeni	navesti	Appmpny
podaci	podatak	Ncmpn
označeni	označiti	Appmpny
[	[	Z
…	…	Z
]	]	Z
,	,	Z
odnosno	odnosno	Rgp
koriste	koristiti	Vmr3p
se	sebe	Px--sa
skraćenice	skraćenica	Ncfpa
naziva	naziv	Ncmpg
te	te	Cc
postoci	postotak	Ncmpn
i	i	Cc
podaci	podatak	Ncmpn
u	u	Sl
rasponu	raspon	Ncmsl
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I	i	Cc
034	034	Mdc
-	-	Z
03/2014	03/2014	Mdc
-	-	Z
01/023	01/023	Mdc
Urbroj	urbroj	Ncmsn
:	:	Z
580	580	Mdc
-	-	Z
09/64	09/64	Mdc
-	-	Z
2015	2015	Mdc
-	-	Z
031	031	Mdc
Zagreb	Zagreb	Npmsn
,	,	Z
17.	17.	Mdo
rujna	rujan	Ncmsg
2015.	2015.	Mdo

Predsjednik	predsjednik	Ncmsn
Vijeća	vijeće	Ncnsg
za	za	Sa
zaštitu	zaštita	Ncfsa
tržišnog	tržišni	Agpnsgy
natjecanja	natjecanje	Ncnsg
Mladen	Mladen	Npmsn
Cerovac	Cerovac	Npmsn
,	,	Z
mag.	mag.	Y
iur.	iur.	Y
,	,	Z
v.	v.	Y
r.	r.	Y

