državnom	državni	Agpnsly
služnosti	služnost	Ncfsg
,	,	Z
tereti	teretiti	Vmr3s
i	i	Cc
ograničenja	ograničenje	Ncnsg
raspolaganja	raspolaganje	Ncnsg
prava	pravo	Ncnsg
vlasništva	vlasništvo	Ncnsg

−	−	Pd-mpn
drugi	drugi	Mlompn
podaci	podatak	Ncmpn
važni	važan	Agpmpny
za	za	Sa
komasaciju	komasacija	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
zemljište	zemljište	Ncnsa
sudionika	sudionik	Ncmpg
komasacije	komasacija	Ncfsg
na	na	Sl
komasacijskom	komasacijski	Agpnsly
području	područje	Ncnsl
i	i	Cc
izvan	izvan	Sg
komasacijske	komasacijski	Agpfsgy
gromade	gromada	Ncfsg
u	u	Sa
iskaz	iskaz	Ncmsan
zemljišta	zemljište	Ncnsg
upisuju	upisivati	Vmr3p
se	sebe	Px--sa
podaci	podatak	Ncmpn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
osim	osim	Sg
podataka	podatak	Ncmpg
o	o	Sl
procjeni	procjena	Ncfsl
.	.	Z

Članak	članak	Ncmsn
50.	50.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Županijsko	županijski	Agpnsny
komasacijsko	komasacijski	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
objavljuje	objavljivati	Vmr3s
iskaz	iskaz	Ncmsan
zemljišta	zemljište	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
49.	49.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
na	na	Sa
javni	javan	Agpmsayn
uvid	uvid	Ncmsan
,	,	Z
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
15	15	Mdc
dana	dan	Ncmpg
,	,	Z
na	na	Sl
oglasnoj	oglasni	Agpfsly
ploči	ploča	Ncfsl
i	i	Cc
u	u	Sl
službenom	služben	Agpnsly
glasilu	glasilo	Ncnsl
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
Grada	grad	Ncmsg
Zagreba	Zagreb	Npmsg
,	,	Z
na	na	Sl
čijem	čiji	Pi-nsl
se	sebe	Px--sa
području	područje	Ncnsl
komasacija	komasacija	Ncfsn
provodi	provoditi	Vmr3s
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Na	na	Sa
podatke	podatak	Ncmpa
iz	iz	Sg
iskaza	iskaz	Ncmsg
zemljišta	zemljište	Ncnsg
o	o	Sl
stanju	stanje	Ncnsl
prije	prije	Sg
komasacije	komasacija	Ncfsg
sudionik	sudionik	Ncmsn
komasacije	komasacija	Ncfsg
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
prigovor	prigovor	Ncmsan
županijskom	županijski	Agpnsly
komasacijskom	komasacijski	Agpnsly
povjerenstvu	povjerenstvo	Ncnsl
,	,	Z
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
osam	osam	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
isteka	istek	Ncmsg
roka	rok	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
O	o	Sl
prigovoru	prigovor	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
odlučuje	odlučivati	Vmr3s
županijsko	županijski	Agpnsny
komasacijsko	komasacijski	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
nakon	nakon	Sg
provedene	provesti	Agpfsgy
usmene	usmen	Agpfsgy
javne	javan	Agpfsgy
rasprave	rasprava	Ncfsg
,	,	Z
uz	uz	Sa
potrebna	potreban	Agpnpay
vještačenja	vještačenje	Ncnpa
i	i	Cc
očevide	očevid	Ncmpa
,	,	Z
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
primitka	primitak	Ncmsg
prigovora	prigovor	Ncmsg
te	te	Cc
o	o	Sl
svom	svoj	Px-msl
zaključku	zaključak	Ncmsl
obavještava	obavještavati	Vmr3s
sudionika	sudionik	Ncmsay
komasacije	komasacija	Ncfsg
.	.	Z

Članak	članak	Ncmsn
51.	51.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Projekti	projekt	Ncmpn
putne	putni	Agpfsgy
i	i	Cc
kanalske	kanalski	Agpfpny
mreže	mreža	Ncfpn
podnose	podnositi	Vmr3p
se	sebe	Px--sa
radi	radi	Sg
prihvaćanja	prihvaćanje	Ncnsg
županijskom	županijski	Agpnsly
komasacijskom	komasacijski	Agpnsdy
povjerenstvu	povjerenstvo	Ncnsd
i	i	Cc
odboru	odbor	Ncmsl
sudionika	sudionik	Ncmsg
komasacije	komasacija	Ncfsg
koji	koji	Pi-mpn
mogu	moći	Vmr3p
od	od	Sg
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
lokalne	lokalan	Agpmpay
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
nadležnoga	nadležan	Ncmsg
za	za	Sa
putove	put	Ncmpa
,	,	Z
odnosno	odnosno	Rgp
za	za	Sa
vodno	vodni	Agpnsay
gospodarstvo	gospodarstvo	Ncnsa
zatražiti	zatražiti	Vmn
mišljenje	mišljenje	Ncnsa
o	o	Sl
tim	taj	Pd-mpl
projektima	projekt	Ncmpl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
idejnom	idejni	Agpmsly
projektu	projekt	Ncmsl
izgradnje	izgradnja	Ncfsg
vodnih	vodni	Agpfpgy
građevina	građevina	Ncfpg
za	za	Sa
melioracije	melioracija	Ncfpa
moraju	morati	Vmr3p
se	sebe	Px--sa
označiti	označiti	Vmn
granice	granica	Ncfpn
područja	područje	Ncnsg
odvodnje	odvodnja	Ncfsg
.	.	Z

Članak	članak	Ncmsn
52.	52.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Županijsko	županijski	Agpnsny
komasacijsko	komasacijski	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
objavljuje	objavljivati	Vmr3s
pregledni	pregledan	Agpmsayn
plan	plan	Ncmsan
položaja	položaj	Ncmpg
putne	putni	Agpfsgy
i	i	Cc
kanalske	kanalski	Agpfpay
mreže	mreža	Ncfpa
na	na	Sa
javni	javan	Agpmsayn
uvid	uvid	Ncmsan
,	,	Z
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
15	15	Mdc
dana	dan	Ncmpg
,	,	Z
na	na	Sl
oglasnoj	oglasni	Agpfsly
ploči	ploča	Ncfsl
i	i	Cc
u	u	Sl
službenom	služben	Agpnsly
glasilu	glasilo	Ncnsl
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
i	i	Cc
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfpay
)	)	Z
samouprave	samouprava	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
Grada	grad	Ncmsg
Zagreba	Zagreb	Npmsg
,	,	Z
na	na	Sl
čijem	čiji	Pi-nsl
se	sebe	Px--sa
području	područje	Ncnsl
komasacija	komasacija	Ncfsn
provodi	provoditi	Vmr3s
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Na	na	Sa
plan	plan	Ncmsan
položaja	položaj	Ncmsg
putne	putni	Agpfsgy
i	i	Cc
kanalske	kanalski	Agpfsgy
mreže	mreža	Ncfsg
sudionik	sudionik	Ncmsn
komasacije	komasacija	Ncfsg
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
prigovor	prigovor	Ncmsan
županijskom	županijski	Agpnsly
komasacijskom	komasacijski	Agpnsly
povjerenstvu	povjerenstvo	Ncnsl
,	,	Z
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
osam	osam	Mlc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
isteka	istek	Ncmsg
roka	rok	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
O	o	Sl
prigovoru	prigovor	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
odlučuje	odlučivati	Vmr3s
na	na	Sl
usmenoj	usmen	Agpfsly
javnoj	javan	Agpfsly
raspravi	rasprava	Ncfsl
županijsko	županijski	Agpnsny
komasacijsko	komasacijski	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
,	,	Z
uz	uz	Sa
sudjelovanje	sudjelovanje	Ncnsa
stručnjaka	stručnjak	Ncmpg
za	za	Sa
vodno	vodni	Agpnsay
gospodarstvo	gospodarstvo	Ncnsa
ako	ako	Cs
se	sebe	Px--sa
odlučuje	odlučivati	Vmr3s
o	o	Sl
kanalskoj	kanalski	Agpfsly
mreži	mreža	Ncfsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Nakon	nakon	Sg
provedenih	provesti	Agpfpgy
radnji	radnja	Ncfpg
iz	iz	Sg
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
obavlja	obavljati	Vmr3s
se	sebe	Px--sa
obilježavanje	obilježavanje	Ncnsn
putne	putni	Agpfsgy
i	i	Cc
kanalske	kanalski	Agpfsgy
mreže	mreža	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
.	.	Z

Dioba	dioba	Ncfsn
komasacijske	komasacijski	Agpfsgy
gromade	gromada	Ncfsg

Članak	članak	Ncmsn
53.	53.	Mdo

Radi	radi	Sg
utvrđivanja	utvrđivanje	Ncnsg
površina	površina	Ncfpg
i	i	Cc
vrijednosti	vrijednost	Ncfsg
za	za	Sa
procjenu	procjena	Ncfsa
zemljišta	zemljište	Ncnsg
koje	koji	Pi-nsn
se	sebe	Px--sa
osigurava	osiguravati	Vmr3s
za	za	Sa
opće	opći	Agpfpay
potrebe	potreba	Ncfpa
i	i	Cc
zajedničke	zajednički	Agpfsgy
potrebe	potreba	Ncfsg
naselja	naselje	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
sudionika	sudionik	Ncmpg

