pričvršćena	pričvrstiti	Appfsny
zračenju	zračenje	Ncnsl
operatera	operater	Ncmpg
.	.	Z

4.2.8	4.2.i	Agpnsny
Upravljanje	upravljanje	Ncnsn
zračnim	zračan	Agpmsiy
i	i	Cc
tekućim	tekući	Agpnply
ispuštanjima	ispuštanje	Ncnpl

Ispuštanje	ispuštanje	Ncnsn
je	biti	Var3s
potrebno	potreban	Agpnsny
mjeriti	mjeriti	Vmn
kontinuirano	kontinuiran	Agpnsny
.	.	Z

4.2.9	4.2.9	Mdc
Ostala	ostali	Agpnpay
specifična	specifičan	Agpnpay
razmatranja	razmatranje	Ncnpa
u	u	Sl
projekatima	projekatim	Ncmsl
specifičnim	specifičan	Agpmply
za	za	Sa
postrojenja	postrojenje	Ncnpa
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
mox	moi	Agpnpay
goriva	gorivo	Ncnpa

Privremena	privremen	Agpfsny
MOX	MOX	Npmsan
i	i	Cc
PuO2	pui	Agpnsgy
skladišta	skladište	Ncnsg

(	(	Z
1	1	Mdc
)	)	Z
Prilikom	prilikom	Sg
projektiranja	projektiranje	Ncnsg
privremenog	privremen	Agpnsgy
MOX	MOX	Npmsan
i	i	Cc
PuO2	PuO2	Ps1nsg
skladišta	skladište	Ncnsg
za	za	Sa
postrojenja	postrojenje	Ncnpa
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
MOX	moi	Agpnpay
goriva	gorivo	Ncnpa
,	,	Z
treba	trebati	Vmr3s
uzeti	uzeti	Vmn
u	u	Sa
obzir	obzir	Ncmsan
:	:	Z

a	a	Cc
)	)	Z
kritičnost	kritičnost	Ncfsn
;	;	Z

b	b	Npmsn
)	)	Z
požar	požar	Ncmsan
;	;	Z

c	C	Npmsn
)	)	Z
zadržavanje	zadržavanje	Ncnsn
i	i	Cc
izolaciju	izolacija	Ncfsa
;	;	Z

d	i	Agpnsny
)	)	Z
uklanjanje	uklanjanje	Ncnsa
topline	toplina	Ncfsg
(	(	Z
ako	ako	Cs
je	biti	Var3s
potrebno	potreban	Agpnsny
)	)	Z
;	;	Z

e	e	I
)	)	Z
izloženost	izloženost	Ncfsn
operatera	operater	Ncmpg
zbog	zbog	Sg
ulaska	ulazak	Ncmsg
u	u	Sa
skladište	skladište	Ncnsa
i	i	Cc
rukovanja	rukovanje	Ncnsg
materijalom	materijal	Ncmsi
;	;	Z

f	f	Npmsn
)	)	Z
pristup	pristup	Ncmsan
zbog	zbog	Sg
odgovora	odgovor	Ncmsg
na	na	Sa
predviđene	predvidjeti	Agpmpay
pogonske	pogonski	Agpmpay
događaje	događaj	Ncmpa
kao	kao	Cs
što	što	Cs
su	biti	Var3p
ispuštene	ispustiti	Appfpny
posude	posuda	Ncfpn
ili	ili	Cc
tablete	tableta	Ncfpa
;	;	Z

g	g	Npmsn
)	)	Z
održavanje	održavanje	Ncnsn
opreme	oprema	Ncfsg
za	za	Sa
rukovanje	rukovanje	Ncnsa
,	,	Z
dizanje	dizanje	Ncnsa
i	i	Cc
prijenos	prijenos	Ncmsn
objekata	objekt	Ncmpg
u	u	Sl
skladištu	skladište	Ncnsl
.	.	Z

Način	način	Ncmsn
održavanja	održavanje	Ncnsg

(	(	Z
2	2	Mdc
)	)	Z
Način	način	Ncmsn
održavanja	održavanje	Ncnsg
treba	trebati	Vmr3s
biti	biti	Van
utvrđen	utvrditi	Appmsnn
prije	prija	Cs
nego	nego	Cs
je	biti	Var3s
projekt	projekt	Ncmsn
dovršen	dovršiti	Appmsnn
.	.	Z

4.3	4.i	Agpnsny
POSTROJENJE	postrojenje	Ncnsn
ZA	za	Sa
PRERADU	prerada	Ncfsa
ISTROŠENOG	istrošiti	Agpnsgy
NUKLEARNOG	nuklearan	Agpnsgy
GORIVA	gorivo	Ncnsg

Sljedeći	sljedeći	Agpmpny
zahtjevi	zahtjev	Ncmpn
su	biti	Var3p
specifični	specifičan	Agpmpny
za	za	Sa
prerađivačka	prerađivački	Agpnpay
postrojenja	postrojenje	Ncnpa
koja	koji	Pi-npn
koriste	koristiti	Vmr3p
proces	proces	Ncmsan
tekuće	tekući	Agpfsgy
ekstrakcije	ekstrakcija	Ncfsg
(	(	Z
npr.	npr.	Y
PUREX	PUREX	Npmsn
procesi	proces	Ncmpn
)	)	Z
na	na	Sl
industrijskoj	industrijski	Agpfsly
razini	razina	Ncfsl
.	.	Z

Postrojenja	postrojenje	Ncnpn
za	za	Sa
preradu	prerada	Ncfsa
sudjeluju	sudjelovati	Vmr3p
u	u	Sl
obradi	obrada	Ncfsl
istrošenog	istrošiti	Agpnsgy
goriva	gorivo	Ncnsg
iz	iz	Sg
nuklearnih	nuklearan	Agpfpgy
elektrana	elektrana	Ncfpg
i	i	Cc
iz	iz	Sg
istraživačkih	istraživački	Agpmpgy
reaktora	reaktor	Ncmpg
tako	tako	Cs
da	da	Cs
dobivaju	dobivati	Vmr3p
fisibilni	fisibilan	Agpmsayn
materijal	materijal	Ncmsan
(	(	Z
uranij	uranij	Ncmsn
i	i	Cc
plutonij	plutonij	Ncmsn
)	)	Z
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
svježeg	svjež	Agpnsgy
goriva	gorivo	Ncnsg
,	,	Z
npr.	npr.	Y
MOX	moxti	Vmr3s
gorivo	gorivo	Ncnsa
za	za	Sa
lakovodne	lakovodni	Agpmpay
reaktore	reaktor	Ncmpa
ili	ili	Cc
gorivo	gorivo	Ncnsa
za	za	Sa
brze	brz	Agpmpay
oplodne	oplodni	Agpmpay
reaktore	reaktor	Ncmpa
.	.	Z

Procesi	proces	Ncmpn
obuhvaćeni	obuhvatiti	Appmpny
ovdje	ovdje	Rgp
su	biti	Var3p
:	:	Z

a	a	Cc
)	)	Z
rezanje	rezanje	Ncnsn
,	,	Z
uklanjanje	uklanjanje	Ncnsn
košuljice	košuljica	Ncfsg
i	i	Cc
otapanje	otapanje	Ncnsa
istrošenog	istrošiti	Agpnsgy
goriva	gorivo	Ncnsg
;	;	Z

b	b	Y
)	)	Z
svi	sav	Agpmpny
kemijski	kemijski	Agpmpny
ciklusi	ciklus	Ncmpn
razdvajanja	razdvajanje	Ncnsg
i	i	Cc
pročišćavanja	pročišćavanje	Ncnsg
(	(	Z
uključujući	uključivati	Rr
uklanjanje	uklanjanje	Ncnsa
otapala	otapati	Vmp-sf
iz	iz	Sg
vodene	voden	Agpfsgy
otopine	otopina	Ncfsg
,	,	Z
obradu	obrada	Ncfsa
i	i	Cc
kondicioniranje	kondicioniranje	Ncnsa
otapala	otapalo	Ncnsg
,	,	Z
i	i	Cc
izvlačenje	izvlačenje	Ncnsn
kiselina	kiselina	Ncfpg
)	)	Z
;	;	Z

c	C	Npmsn
)	)	Z
koncentracija	koncentracija	Ncfsn
fisijskih	fisijski	Agpmpgy
produkata	produkt	Ncmpg
te	te	Cc
nitrata	nitrat	Ncmpg
plutonija	plutonij	Ncmsg
i	i	Cc
uranija	uranija	Ncfsn
;	;	Z
konverzija	konverzija	Ncfsn
nitrata	nitrat	Ncmpg
plutonija	plutonij	Ncmsg
i	i	Cc
uranija	uranija	Ncfsn
u	u	Sa
okside	oksid	Ncmpa
;	;	Z

d	i	Agpnsny
)	)	Z
skladištenje	skladištenje	Ncnsn
tih	taj	Pd-mpg
proizvoda	proizvod	Ncmpg
te	te	Cc
privremeno	privremen	Agpnsny
skladištenje	skladištenje	Ncnsn
otpada	otpad	Ncmsg
iz	iz	Sg
procesa	proces	Ncmsg
(	(	Z
npr.	npr.	Y
skladištenje	skladištenje	Ncnsn
otopina	otopina	Ncfpg
fisijskih	fisijski	Agpmpgy
produkata	produkt	Ncmpg
u	u	Sl
posudama	posuda	Ncfpl
)	)	Z
.	.	Z

U	u	Sl
postrojenjima	postrojenje	Ncnpl
za	za	Sa
preradu	prerada	Ncfsa
prisutan	prisutan	Agpmsnn
je	biti	Var3s
cijeli	cijel	Agpmsny
spektar	spektar	Ncmsn
radioaktivnih	radioaktivan	Agpmpgy
materijala	materijal	Ncmpg
i	i	Cc
rizika	rizik	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
mogu	moći	Vmr3p
pojaviti	pojaviti	Vmn
u	u	Sl
nuklearnom	nuklearan	Agpmsly
gorivnom	gorivni	Agpmsly
ciklusu	ciklus	Ncmsl
.	.	Z

Ovo	ovaj	Pd-nsn
poglavlje	poglavlje	Ncnsn
ne	ne	Qz
pokriva	pokrivati	Vmr3s
procese	proces	Ncmpa
kao	kao	Cs
što	što	Cs
su	biti	Var3p
oni	onaj	Pd-mpn
koji	koji	Pi-mpn
se	sebe	Px--sa
provode	provoditi	Vmr3p
u	u	Sl
objektima	objekt	Ncmpl
za	za	Sa
istovar	istovar	Ncmsan
spremnika	spremnik	Ncmsg
,	,	Z
pohranu	pohrana	Ncfsa
istrošenog	istrošiti	Agpnsgy
goriva	gorivo	Ncnsg
i	i	Cc
kondicioniranje	kondicioniranje	Ncnsa
otpada	otpad	Ncmsg
,	,	Z
npr.	npr.	Y
objekti	objekt	Ncmpn
za	za	Sa
vitrifikaciju	vitrifikacija	Ncfsa
visoko	visoko	Rgp
radioaktivnog	radioaktivan	Agpmsgy
otpada	otpad	Ncmsg
ili	ili	Cc
za	za	Sa
imobilizaciju	imobilizacija	Ncfsa
radioaktivnog	radioaktivan	Agpmsgy
taloga	talog	Ncmsg
.	.	Z

4.3.1	4.3.1	Mdc
Sigurnosne	sigurnosni	Agpfsgy
funkcije	funkcija	Ncfsg

Postrojenje	postrojenje	Ncnsn
je	biti	Var3s
potrebno	potreban	Agpnsny
projektirati	projektirati	Vmn
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
spriječila	spriječiti	Vmp-sf
nesreća	nesreća	Ncfsn
s	sa	Si
postizanjem	postizanje	Ncnsi
kritičnosti	kritičnost	Ncfsg
i	i	Cc
slučajno	slučajan	Agpnsay
ispuštanje	ispuštanje	Ncnsa
opasnih	opasan	Agpfpgy
tvari	tvar	Ncfpg
.	.	Z

Projektom	projekt	Ncmsi
je	biti	Var3s
potrebno	potreban	Agpnsny
osigurati	osigurati	Vmn
da	da	Cs
je	biti	Var3s
izloženost	izloženost	Ncfsn
radijaciji	radijacija	Ncfsl
tijekom	tijekom	Sg
normalnog	normalan	Agpmsgy
pogona	pogon	Ncmsg
i	i	Cc
u	u	Sl
uvjetima	uvjet	Ncmpl
tijeka	tijek	Ncmsg
nesreće	nesreća	Ncfsg
svedena	svesti	Appfsny
na	na	Sa
najmanju	mali	Agsfsay
moguću	moguć	Agpfsay
razumnu	razuman	Agpfsay
mjeru	mjera	Ncfsa
.	.	Z

4.3.2	4.3.2	Agpmsny
Tehnički	tehnički	Agpmsny
projekt	projekt	Ncmsn

(	(	Z
1	1	Mdc
)	)	Z
Prilikom	prilikom	Sg
projektiranja	projektiranje	Ncnsg
potrebno	potreban	Agpnsny
je	biti	Var3s
uzeti	uzeti	Vmn
u	u	Sa
obzir	obzir	Ncmsan
povratne	povratan	Agpfsgy
informacije	informacija	Ncfsg
iz	iz	Sg
pogonskog	pogonski	Agpnsgy
iskustva	iskustvo	Ncnsg
u	u	Sl
sličnim	sličan	Agpnply
postrojenjima	postrojenje	Ncnpl
i	i	Cc
relevantnog	relevantan	Agpnsgy
pogonskog	pogonski	Agpnsgy
iskustva	iskustvo	Ncnsg
na	na	Sl
drugim	drugi	Agpmply
industrijskim	industrijski	Agpmply
objektima	objekt	Ncmpl
.	.	Z

Hlađenje	hlađenje	Ncnsn

(	(	Z
2	2	Mdc
)	)	Z
Rashladni	rashladni	Agpmpny
sustavi	sustav	Ncmpn
,	,	Z
uključujući	uključivati	Rr
sve	sav	Agpmpay
sustave	sustav	Ncmpa
za	za	Sa
podršku	podrška	Ncfsa
,	,	Z
trebaju	trebati	Vmr3p
imati	imati	Vmn
dovoljan	dovoljan	Agpmsann
kapacitet	kapacitet	Ncmsan
,	,	Z
dostupnost	dostupnost	Ncfsn
i	i	Cc
pouzdanost	pouzdanost	Ncfsa
za	za	Sa
uklanjanje	uklanjanje	Ncnsa
topline	toplina	Ncfsg
nastale	nastao	Agpfsgy
radioaktivnim	radioaktivan	Agpmsiy
raspadom	raspad	Ncmsi
ili	ili	Cc
,	,	Z
ako	ako	Cs
je	biti	Var3s
potrebno	potreban	Agpnsny
,	,	Z
topline	toplina	Ncfpn
nastale	nastao	Agpfsgy
kemijskim	kemijski	Agpfpiy
reakcijama	reakcija	Ncfpi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Rashladni	rashladni	Agpmpny
sustavi	sustav	Ncmpn
,	,	Z
uključujući	uključivati	Rr
sve	sav	Agpmpay
sustave	sustav	Ncmpa
za	za	Sa
podršku	podrška	Ncfsa
,	,	Z
za	za	Sa
uklanjanje	uklanjanje	Ncnsa
topline	toplina	Ncfsg
nastale	nastao	Agpfsgy
kemijskim	kemijski	Agpfpiy
reakcijama	reakcija	Ncfpi
trebaju	trebati	Vmr3p
imati	imati	Vmn
dovoljan	dovoljan	Agpmsann

