obavljanje	obavljanje	Ncnsn
Kuća	kuća	Ncfsn
za	za	Sa
odmor	odmor	Ncmsan
,	,	Z

5.	5.	Mdo
Kamp	kamp	Ncmsn
,	,	Z

6.	6.	Mdo
Kamp	kamp	Ncmsn
odmorište	odmorište	Ncnsn
.	.	Z

Članak	članak	Ncmsn
17.	17.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
razvrstavanje	razvrstavanje	Ncnsa
u	u	Sa
vrste	vrsta	Ncfpa
Soba	soba	Ncfsn
,	,	Z
Apartman	apartman	Ncmsn
,	,	Z
Studio	studio	Ncmsn
apartman	apartman	Ncmsan
,	,	Z
Kuća	kuća	Ncfsn
za	za	Sa
odmor	odmor	Ncmsan
i	i	Cc
Kamp	kamp	Ncmsn
moraju	morati	Vmr3p
biti	biti	Van
ispunjeni	ispuniti	Appmpny
minimalni	minimalan	Agpmpny
uvjeti	uvjet	Ncmpn
i	i	Cc
uvjeti	uvjet	Ncmpn
za	za	Sa
najnižu	nizak	Agsfsay
kategoriju	kategorija	Ncfsa
iz	iz	Sg
Priloga	prilog	Ncmsg
I.	I.	Mro
,	,	Z
II	ii	Mrc
.	.	Z
i	i	Cc
III	III	Mro
.	.	Z
,	,	Z
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
razvrstavanje	razvrstavanje	Ncnsa
u	u	Sa
vrstu	vrsta	Ncfsa
Kamp	kamp	Ncmsn
odmorište	odmorište	Ncnsn
moraju	morati	Vmr3p
biti	biti	Van
ispunjeni	ispuniti	Appmpny
minimalni	minimalan	Agpmpny
uvjeti	uvjet	Ncmpn
i	i	Cc
uvjeti	uvjet	Ncmpn
propisani	propisati	Appmpny
u	u	Sl
Prilogu	prilog	Ncmsl
IV	IV	Mrc
.	.	Z
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

3.1.	3.1.	Mdo

VRSTA	vrsta	Ncfsn
SOBA	sob	Ncmsg

Članak	članak	Ncmsn
18.	18.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Soba	soba	Ncfsn
je	biti	Var3s
objekt	objekt	Ncmsn
u	u	Sl
kojem	koji	Pi-msl
iznajmljivač	iznajmljivač	Ncmsn
pruža	pružati	Vmr3s
uslugu	usluga	Ncfsa
smještaja	smještaj	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
Sobi	soba	Ncfsl
iznajmljivač	iznajmljivač	Ncmsn
može	moći	Vmr3s
pružati	pružati	Vmn
usluge	usluga	Ncfpa
prehrane	prehrana	Ncfsg
,	,	Z
pića	piće	Ncnsg
i	i	Cc
napitaka	napitak	Ncmpg
.	.	Z

3.2.	3.2.	Mdo

VRSTA	vrsta	Ncfsn
APARTMAN	apartman	Ncmsn

Članak	članak	Ncmsn
19.	19.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Apartman	apartman	Ncmsn
je	biti	Var3s
objekt	objekt	Ncmsn
u	u	Sl
kojem	koji	Pi-msl
iznajmljivač	iznajmljivač	Ncmsn
pruža	pružati	Vmr3s
uslugu	usluga	Ncfsa
smještaja	smještaj	Ncmsg
,	,	Z
opremljen	opremiti	Appmsnn
da	da	Cs
gost	gost	Ncmsn
sam	sam	Agpmsnn
može	moći	Vmr3s
pripremati	pripremati	Vmn
i	i	Qo
konzumirati	konzumirati	Vmn
hranu	hrana	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
Apartmanu	apartman	Ncmsl
iznajmljivač	iznajmljivač	Ncmsn
može	moći	Vmr3s
pružati	pružati	Vmn
usluge	usluga	Ncfpa
prehrane	prehrana	Ncfsg
,	,	Z
pića	piće	Ncnsg
i	i	Cc
napitaka	napitak	Ncmpg
.	.	Z

3.3.	3.3.	Mdo

VRSTA	vrsta	Ncfsn
STUDIO	studio	Ncmsn
APARTMAN	apartman	Ncmsn

Članak	članak	Ncmsn
20.	20.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Studio	studio	Ncmsn
apartman	apartman	Ncmsn
je	biti	Var3s
objekt	objekt	Ncmsn
u	u	Sl
kojem	koji	Pi-msl
iznajmljivač	iznajmljivač	Ncmsn
pruža	pružati	Vmr3s
uslugu	usluga	Ncfsa
smještaja	smještaj	Ncmsg
,	,	Z
opremljen	opremiti	Appmsnn
da	da	Cs
gost	gost	Ncmsn
u	u	Sl
jednoj	jedan	Agpfsly
prostoriji	prostorija	Ncfsl
može	moći	Vmr3s
boraviti	boraviti	Vmn
,	,	Z
spavati	spavati	Vmn
,	,	Z
pripremati	pripremati	Vmn
i	i	Cc
konzumirati	konzumirati	Vmn
hranu	hrana	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
Studio	Studi	Npmsl
apartmanu	apartman	Ncmsl
iznajmljivač	iznajmljivač	Ncmsn
može	moći	Vmr3s
pružati	pružati	Vmn
usluge	usluga	Ncfpa
prehrane	prehrana	Ncfsg
,	,	Z
pića	piće	Ncnsg
i	i	Cc
napitaka	napitak	Ncmpg
.	.	Z

3.4.	3.4.	Mdo

VRSTA	vrsta	Ncfsn
KUĆA	kuća	Ncfpg
ZA	za	Sa
ODMOR	odmor	Ncmsan

Članak	članak	Ncmsn
21.	21.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kuća	kuća	Ncfsn
za	za	Sa
odmor	odmor	Ncmsan
je	biti	Var3s
objekt	objekt	Ncmsan
u	u	Sl
kojem	koji	Pi-msl
iznajmljivač	iznajmljivač	Ncmsn
pruža	pružati	Vmr3s
uslugu	usluga	Ncfsa
smještaja	smještaj	Ncmsg
i	i	Cc
korištenja	korištenje	Ncnsg
okućnice	okućnica	Ncfsg
,	,	Z
opremljen	opremiti	Appmsnn
da	da	Cs
gost	gost	Ncmsn
sam	sam	Agpmsnn
može	moći	Vmr3s
pripremati	pripremati	Vmn
i	i	Qo
konzumirati	konzumirati	Vmn
hranu	hrana	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
Kući	kuća	Ncfsl
za	za	Sa
odmor	odmor	Ncmsan
iznajmljivač	iznajmljivač	Ncmsn
može	moći	Vmr3s
pružati	pružati	Vmn
usluge	usluga	Ncfpa
prehrane	prehrana	Ncfsg
,	,	Z
pića	piće	Ncnsg
i	i	Cc
napitaka	napitak	Ncmpg
.	.	Z

3.5.	3.5.	Mdo

VRSTA	vrsta	Ncfsn
KAMP	kamp	Ncmsn

Članak	članak	Ncmsn
22.	22.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kamp	kamp	Ncmsn
je	biti	Var3s
objekt	objekt	Ncmsn
u	u	Sl
kojem	koji	Pi-msl
iznajmljivač	iznajmljivač	Ncmsn
pruža	pružati	Vmr3s
usluge	usluga	Ncfpa
smještaja	smještaj	Ncmsg
na	na	Sl
smještajnim	smještajan	Agpfply
jedinicama	jedinica	Ncfpl
na	na	Sl
otvorenom	otvoren	Agpmsly
prostoru	prostor	Ncmsl
–	–	Z
usluge	usluga	Ncfpa
kampiranja	kampiranje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
Kampu	kamp	Ncmsl
iznajmljivač	iznajmljivač	Ncmsn
može	moći	Vmr3s
pružati	pružati	Vmn
usluge	usluga	Ncfpa
:	:	Z

1.	1.	Mdo
iznajmljivanja	iznajmljivanje	Ncnsg
pokretne	pokretan	Agpfsgy
opreme	oprema	Ncfsg
za	za	Sa
kampiranje	kampiranje	Ncnsa
;	;	Z
stolova	stol	Ncmpg
,	,	Z
stolica	stolica	Ncfpg
,	,	Z
vreća	vreća	Ncfsn
za	za	Sa
spavanje	spavanje	Ncnsa
,	,	Z
šatora	šator	Ncmsg
,	,	Z
kamp	kamp	Ncmsn
prikolica	prikolica	Ncfpg
(	(	Z
kamp	kamp	Ncmsn
kućica	kućica	Ncfpg
,	,	Z
karavan	karavan	Ncmsn
)	)	Z
,	,	Z
pokretnih	pokretan	Agpfpgy
kućica	kućica	Ncfpg
(	(	Z
mobilhome	mobilhoma	Ncfpn
)	)	Z
,	,	Z
autodom	autodom	Ncmsn
(	(	Z
kamper	kamper	Ncmsn
)	)	Z
,	,	Z
glamping	glampina	Ncfpn
opreme	oprema	Ncfsg
i	i	Cc
slično	sličan	Agpnsny
,	,	Z

2.	2.	Mdo
druge	drugi	Mlofsg
usluge	usluga	Ncfpa
u	u	Sl
funkciji	funkcija	Ncfsl
turističke	turistički	Agpfsgy
potrošnje	potrošnja	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Objekt	objekt	Ncmsn
mora	morati	Vmr3s
imati	imati	Vmn
zajedničke	zajednički	Agpmpay
sadržaje	sadržaj	Ncmpa
(	(	Z
prostorije	prostorija	Ncfpa
i	i	Cc
prostore	prostor	Ncmpa
)	)	Z
i	i	Cc
smještajne	smještajan	Agpfsgy
jedinice	jedinica	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Zajednički	zajednički	Agpmpny
sadržaji	sadržaj	Ncmpn
su	biti	Var3p
:	:	Z

1.	1.	Mdo
prometnice	prometnica	Ncfsg
unutar	unutar	Sg
objekta	objekt	Ncmsg
,	,	Z

2.	2.	Mdo
sanitarni	sanitaran	Agpmsayn
čvor	čvor	Ncmsan
i	i	Cc
drugi	drugi	Mlompn
sanitarni	sanitaran	Agpmpny
elementi	element	Ncmpn
za	za	Sa
goste	gost	Ncmpa
na	na	Sl
smještajnim	smještajan	Agpfply
jedinicama	jedinica	Ncfpl
,	,	Z

3.	3.	Mdo
druge	drugi	Mlofpn
prostorije	prostorija	Ncfpn
i	i	Cc
prostori	prostor	Ncmpn
u	u	Sl
funkciji	funkcija	Ncfsl
turističke	turistički	Agpfsgy
potrošnje	potrošnja	Ncfsg
,	,	Z

4.	4.	Mdo
uređen	uređen	Agpmsann
okoliš	okoliš	Ncmsan
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Smještajne	smještajan	Agpfpny
jedinice	jedinica	Ncfpn
u	u	Sl
kampu	kamp	Ncmsl
su	biti	Var3p
kamp	kamp	Ncmsn
mjesto	mjesto	Ncnsa
i	i	Cc
/	/	Z
ili	ili	Cc
kamp	kamp	Ncmsn
parcela	parcela	Ncfpg
(	(	Z
mogu	moći	Vmr3p
biti	biti	Van
sve	sve	Qo
kamp	kamp	Ncmsn
parcele	parcela	Ncfsg
)	)	Z
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Na	na	Sa
najviše	mnogo	Rgs
30	30	Mdc
%	%	Z
smještajnih	smještajan	Agpfpgy
jedinica	jedinica	Ncfpg
mogu	moći	Vmr3p
biti	biti	Van
postavljeni	postaviti	Appmpny
mobilhomovi	mobilhom	Ncmpn
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Prostorije	prostorija	Ncfpn
u	u	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
nalaze	nalaziti	Vmr3p
zajednički	zajednički	Agpmpny
sadržaji	sadržaj	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
u	u	Sl
građevinama	građevina	Ncfpl
odnosno	odnosno	Rgp
ne	ne	Qz
mogu	moći	Vmr3p
biti	biti	Van
kontejnerskog	kontejnerski	Agpmsgy
tipa	tip	Ncmsg
,	,	Z
osim	osim	Cs
za	za	Sa
najnižu	nizak	Agsfsay
kategoriju	kategorija	Ncfsa
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Na	na	Sl
smještajnim	smještajan	Agpfply
jedinicama	jedinica	Ncfpl
,	,	Z
ispred	ispred	Sg
pokretne	pokretan	Agpfsgy
opreme	oprema	Ncfsg
za	za	Sa
kampiranje	kampiranje	Ncnsa
,	,	Z
dozvoljeno	dozvoliti	Appnsny
je	biti	Var3s
postavljanje	postavljanje	Ncnsn
predulaza	predulaz	Ncmsg
(	(	Z
predšator	predšator	Ncmsn
)	)	Z
ili	ili	Cc
terase	terasa	Ncfsg
,	,	Z
od	od	Sg
pokretnog	pokretan	Agpmsgy
i	i	Cc
sklopivog	sklopiv	Agpmsgy
materijala	materijal	Ncmsg
(	(	Z
impregnirano	impregniran	Agpnsny
platno	platno	Ncnsn
,	,	Z
razne	razni	Agpfpay
vrste	vrsta	Ncfpa
plastičnog	plastičan	Agpmsgy
materijala	materijal	Ncmsg
,	,	Z
drvo	drvo	Ncnsa
i	i	Cc
drugo	drugi	Mlonsn
)	)	Z
.	.	Z

Pokretna	pokretan	Agpfsny
oprema	oprema	Ncfsn
za	za	Sa
kampiranje	kampiranje	Ncnsa
,	,	Z
predulaz	predulaz	Ncmsan
i	i	Cc
terasa	terasa	Ncfsn
ne	ne	Qz
smiju	smjeti	Vmr3p
biti	biti	Van
stalno	stalno	Rgp
povezani	povezan	Agpmpny
za	za	Sa
teren	teren	Ncmsan
.	.	Z

Priključci	priključak	Ncmpn
pokretne	pokretan	Agpfsgy
opreme	oprema	Ncfsg
na	na	Sa
infrastrukturu	infrastruktura	Ncfsa
moraju	morati	Vmr3p
biti	biti	Van
demontažni	demontažan	Agpmpny
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Na	na	Sl
smještajnim	smještajan	Agpfply
jedinicama	jedinica	Ncfpl
zabranjeno	zabranjen	Agpnsny
je	biti	Var3s
postavljanje	postavljanje	Ncnsn
ograda	ograda	Ncfpg
,	,	Z
trajnih	trajan	Agpnpgy
popločenja	popločenje	Ncnpg
tla	tlo	Ncnsg
i	i	Cc
slično	sličan	Agpnsny
.	.	Z

3.6.	3.6.	Mdo

VRSTA	vrsta	Ncfsn
KAMP	kamp	Ncmsn
ODMORIŠTE	odmorište	Ncnsn

Članak	članak	Ncmsn
23.	23.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kamp	kamp	Ncmsn
odmorište	odmorište	Ncnsn
je	biti	Var3s
objekt	objekt	Ncmsn
u	u	Sl
kojem	koji	Pi-msl
iznajmljivač	iznajmljivač	Ncmsn
pruža	pružati	Vmr3s
usluge	usluga	Ncfpa
kampiranja	kampiranje	Ncnsg
za	za	Sa
kraći	kratak	Agcmsayn
odmor	odmor	Ncmsan
gosta	gost	Ncmsg
s	sa	Si
vlastitom	vlastit	Agpfsiy
pokretnom	pokretan	Agpfsiy
opremom	oprema	Ncfsi
za	za	Sa
kampiranje	kampiranje	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Smještajna	smještajan	Agpfsny
jedinica	jedinica	Ncfsn
je	biti	Var3s
kamp	kamp	Ncmsn
mjesto	mjesto	Ncnsn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Objekt	objekt	Ncmsn
ima	imati	Vmr3s
centralnu	centralan	Agpfsay
servisnu	servisni	Agpfsay
stanicu	stanica	Ncfsa
.	.	Z

4.	4.	Mdo
KATEGORIJE	kategorija	Ncfsg
OBJEKATA	objekt	Ncmpg
I	i	Cc
UVJETI	uvjet	Ncmpn
ZA	za	Sa
KATEGORIJE	kategorija	Ncfpa

Članak	članak	Ncmsn
24.	24.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kategorije	kategorija	Ncfpn
objekata	objekt	Ncmpg
određuju	određivati	Vmr3p
se	sebe	Px--sa
na	na	Sl
temelju	temelj	Ncmsl
propisanih	propisati	Agpmpgy
uvjeta	uvjet	Ncmpg
za	za	Sa
uređenje	uređenje	Ncnsa
,	,	Z
opremu	oprema	Ncfsa
,	,	Z
uređaje	uređaj	Ncmpa
,	,	Z
usluge	usluga	Ncfpa
,	,	Z
održavanje	održavanje	Ncnsn
i	i	Cc
drugo	drugi	Agpnsny
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kategorije	kategorija	Ncfpn
imaju	imati	Vmr3p
vrste	vrsta	Ncfsg
:	:	Z
Soba	soba	Ncfsn
,	,	Z

