takvom	takav	Pd-nsl
nepravdu	nepravda	Ncfsa
,	,	Z
koja	koji	Pi-fsn
zaslužuje	zasluživati	Vmr3s
odgovarajuću	odgovarajući	Agpfsay
odmazdu	odmazda	Ncfsa
(	(	Z
optuženik	optuženik	Ncmsn
nalazeći	nalaziti	Rr
se	sebe	Px--sa
u	u	Sl
kući	kuća	Ncfsl
,	,	Z
nakon	nakon	Sg
prvih	prvi	Mlompg
ispaljenih	ispaliti	Agpmpgy
hitaca	hitac	Ncmpg
,	,	Z
upućuje	upućivati	Vmr3s
ošt	ošt	Ncmsan
.	.	Z

Jasmini	jasmin	Ncmpn
Mišković	Mišković	Npmsn
Špernoga	Šperni	Npmsay
riječi	riječ	Ncfpa
:	:	Z
'	'	Z
Hoćeš	htjeti	Var2s
li	li	Qq
me	ja	Pp1-sa
sada	sada	Rgp
tužiti	tužiti	Vmn
?!	?!	Npmsan
'	'	Z
)	)	Z
.	.	Z

Stoga	stoga	Rgp
se	sebe	Px--sa
ne	ne	Qz
može	moći	Vmr3s
prihvatiti	prihvatiti	Vmn
tvrdnja	tvrdnja	Ncfsn
obrane	obrana	Ncfsg
da	da	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
situacijskom	situacijski	Agpmsly
zločinu	zločin	Ncmsl
,	,	Z
kada	kada	Cs
počinitelj	počinitelj	Ncmsn
iznenada	iznenada	Rgp
donosi	donositi	Vmr3s
odluku	odluka	Ncfsa
izazvanu	izazvati	Appfsay
naglim	nagao	Agpmsiy
i	i	Cc
nepredviđenim	nepredviđen	Agpmsiy
razvojem	razvoj	Ncmsi
događaja	događaj	Ncmsg
,	,	Z
već	već	Rgp
in	inti	Vmr3s
concreto	concreto	Ncnsa
o	o	Sl
strukturiranom	strukturiran	Agpnsly
poduzimanju	poduzimanje	Ncnsl
niza	niz	Ncmsg
svrsishodnih	svrsishodan	Agpfpgy
radnji	radnja	Ncfpg
kojima	koji	Pi-fpd
se	sebe	Px--sa
optuženik	optuženik	Ncmsn
priprema	pripremati	Vmr3s
da	da	Cs
ostvari	ostvariti	Vmr3s
svoj	svoj	Px-msan
kriminalni	kriminalan	Agpmsayn
naum	naum	Ncmsan
(	(	Z
izlazeći	izlaziti	Rr
iz	iz	Sg
automobila	automobil	Ncmsg
u	u	Sl
Belišću	Belišć	Npmsl
skida	skidati	Vmr3s
zimsku	zimski	Agpfsay
jaknu	jakna	Ncfsa
,	,	Z
kako	kako	Cs
bi	biti	Vaa3s
bio	biti	Vap-sm
što	što	Qo
pokretniji	pokretan	Agcmsny
,	,	Z
a	a	Cc
pištolj	pištolj	Ncmsn
zatiče	zaticati	Vmr3s
za	za	Sa
pas	pas	Ncmsan
,	,	Z
koji	koji	Pi-msn
već	već	Rgp
u	u	Sl
prvom	prvi	Mlomsl
kontaktu	kontakt	Ncmsl
s	sa	Sg
ošt	ošt	Ncfpg
.	.	Z

Jasminom	jasmin	Ncmsi
Mišković	Mišković	Npmsn
Špernoga	Špernoga	Npmsn
drži	držati	Vmr3s
u	u	Sl
desnoj	desni	Agpfsly
ruci	ruka	Ncfsl
sa	sa	Si
streljivom	streljivo	Ncnsi
u	u	Sl
cijevi	cijev	Ncfsl
vatrenog	vatren	Agpnsgy
oružja	oružje	Ncnsg
)	)	Z
.	.	Z

Ovakvo	ovakav	Pd-nsn
ponašanje	ponašanje	Ncnsn
optuženika	optuženik	Ncmpg
neposredno	neposredno	Rgp
prije	prije	Sg
dolaska	dolazak	Ncmsg
u	u	Sa
dvorište	dvorište	Ncnsa
kuće	kuća	Ncfsg
oštećenika	oštećenik	Ncmsg
ukazuje	ukazivati	Vmr3s
da	da	Cs
je	biti	Var3s
isti	isti	Agpmsny
promišljeno	promisliti	Appnsny
stvorio	stvoriti	Vmp-sm
odluku	odluka	Ncfsa
na	na	Sa
njihovo	njihov	Agpnsay
lišenje	lišenje	Ncnsa
života	život	Ncmsg
.	.	Z

Isti	isti	Agpmsny
zadržava	zadržavati	Vmr3s
kontrolu	kontrola	Ncfsa
voljnih	voljan	Agpfpgy
funkcija	funkcija	Ncfpg
te	te	Cc
već	već	Rgp
ispred	ispred	Sg
kuće	kuća	Ncfsg
optuženik	optuženik	Ncmsn
ispaljuje	ispaljivati	Vmr3s
pet	pet	Mlc
projektila	projektil	Ncmpg
u	u	Sa
ukućane	ukućanin	Ncmpa
,	,	Z
postupajući	postupati	Rr
planski	planski	Agpmsny
,	,	Z
hladno	hladan	Agpnsay
i	i	Cc
bešćutno	bešćutno	Rgp
s	sa	Si
ciljem	cilj	Ncmsi
uzvraćanja	uzvraćanje	Ncnsg
doživljene	doživiti	Agpfsgy
nepravde	nepravda	Ncfsg
uz	uz	Sa
potpuno	potpun	Agpnsay
odsustvo	odsustvo	Ncnsa
kajanja	kajanje	Ncnsg
ili	ili	Cc
barem	barem	Qo
dvoumljenja	dvoumljenje	Ncnsg
.	.	Z

Time	taj	Agpmsny
optuženik	optuženik	Ncmsn
manifestira	manifestirati	Vmr3s
jasnu	jasan	Agpfsay
želju	želja	Ncfsa
za	za	Si
kažnjavanjem	kažnjavanje	Ncnsi
onih	onaj	Pd-mpg
koji	koji	Pi-mpn
stoje	stajati	Vmr3p
na	na	Sl
putu	put	Ncmsl
njegovoj	njegov	Ps3fsl
sreći	sreća	Ncfsl
,	,	Z
odnosno	odnosno	Rgp
onih	onaj	Pd-mpg
koji	koji	Pi-mpn
mu	on	Var3p
žele	željeti	Vmr3p
nanijeti	nanijeti	Vmn
zlo	zlo	Ncnsa
pa	pa	Cc
sve	sav	Agpnsny
planirano	planiran	Agpnsny
predstavlja	predstavljati	Vmr3s
adekvatnu	adekvatan	Agpfsay
kaznu	kazna	Ncfsa
za	za	Sa
ošt	ošt	Ncmsan
.	.	Z

Jasminu	jasmin	Ncmsd
Mišković	Mišković	Npmsn
Špernogu	Špernog	Npmsl
.	.	Z

Svih	sav	Agpmpgy
devet	devet	Mlc
ispaljenih	ispaliti	Agpmpgy
metaka	metak	Ncmpg
pogađaju	pogađati	Vmr3p
cilj	cilj	Ncmsan
.	.	Z

Nedostatak	nedostatak	Ncmsn
streljiva	streljivo	Ncnsg
–	–	Z
bilo	biti	Vap-sn
ih	oni	Appnsny
je	biti	Var3s
deset	deset	Mlc
u	u	Sl
pištolju	pištolj	Ncmsl
,	,	Z
zaustavlja	zaustavljati	Vmr3s
daljnji	daljnji	Agpmsayn
pokolj	pokolj	Ncmsan
,	,	Z
jer	jer	Cs
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
kako	kako	Cs
oštećenici	oštećenik	Ncmpn
Danica	Danica	Npfsn
Ognjenović	Ognjenović	Npfsn
i	i	Cc
Miloš	Miloš	Npfsn
Ognjenović	Ognjenović	Npfsn
svojim	svoj	Px-msi
tijelima	tijelo	Ncnpl
pokušavaju	pokušavati	Vmr3p
zaštiti	zaštita	Ncfsl
svoju	svoj	Px-fsa
djecu	dijete	Ncnpa
,	,	Z
odnosno	odnosno	Rgp
nećakinje	nećakinja	Ncfpa
.	.	Z
«	«	Z

23.	23.	Mdo

Slijedom	slijed	Ncmsi
navedenog	naveden	Agpmsgy
,	,	Z
prvostupanjski	prvostupanjski	Agpmsny
sud	sud	Ncmsn
je	biti	Var3s
utvrdio	utvrditi	Vmp-sm
:	:	Z

»	»	Z
Iz	iz	Sg
naprijed	naprijed	Rgp
navedenih	naveden	Agpmpgy
razloga	razlog	Ncmpg
sud	sud	Ncmsn
je	biti	Var3s
zaključio	zaključiti	Vmp-sm
da	da	Cs
je	biti	Var3s
opt	opi	Agpnsny
.	.	Z

Jakob	Jakob	Npmsn
Špernoga	Šperni	Npmsay
protupravnim	protupravan	Agpfpiy
skrivljenim	skriviti	Agpfpiy
radnjama	radnja	Ncfpi
počinio	počiniti	Vmp-sm
dva	dva	Mlc
kaznena	kazneni	Agpnsgy
djela	djelo	Ncnsg
ubojstva	ubojstvo	Ncnsg
iz	iz	Sg
čl.	čl.	Y
90.	90.	Mdo

KZ	KZ	Npfsn
/	/	Z
97	97	Mdc
te	te	Cc
jedno	jedan	Mlcnsa
kazneno	kazneni	Agpnsay
djelo	djelo	Ncnsa
pokušaja	pokušaj	Ncmpg
ubojstva	ubojstvo	Ncnsg
iz	iz	Sg
čl.	čl.	Y
90.	90.	Mdo
u	u	Sl
svezi	sveza	Ncfsl
s	sa	Si
čl.	čl.	Y
33.	33.	Mdo

KZ	KZ	Npmsn
/	/	Z
97.	97.	Mdo
«	«	Z

2	2	Mdc
)	)	Z
Presuda	presuda	Ncfsn
Vrhovnog	vrhovni	Agpmsgy
suda	sud	Ncmsg
broj	broj	Ncmsn
:	:	Z
I	i	Cc
Kž-4	kž-a	Ncfpn
/	/	Z
14	14	Mdc
od	od	Sg
13.	13.	Mdo
ožujka	ožujak	Ncmsg
2014.	2014.	Mdo
(	(	Z
drugostupanjska	drugostupanjski	Agpfsny
presuda	presuda	Ncfsn
)	)	Z

24.	24.	Mdo

Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
je	biti	Var3s
drugostupanjskom	drugostupanjski	Agpfsiy
presudom	presuda	Ncfsi
broj	broj	Ncmsn
:	:	Z
I	i	Cc
Kž-4	kž-a	Ncfpn
/	/	Z
14	14	Mdc
od	od	Sg
13.	13.	Mdo
ožujka	ožujak	Ncmsg
2014.	2014.	Mdo
odbio	odbiti	Vmp-sm
žalbu	žalba	Ncfsa
podnositelja	podnositelj	Ncmpg
,	,	Z
dok	dok	Cs
je	biti	Var3s
žalbu	žalba	Ncfsa
državnog	državni	Agpmsgy
odvjetnika	odvjetnik	Ncmsg
prihvatio	prihvatiti	Vmp-sm
te	te	Cc
je	biti	Var3s
preinačio	preinačiti	Vmp-sm
prvostupanjsku	prvostupanjski	Agpfsay
presudu	presuda	Ncfsa
u	u	Sl
odluci	odluka	Ncfsl
o	o	Sl
kazni	kazna	Ncfsl
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
opt	optti	Vmr3s
.	.	Z

Jakobu	Jakob	Npmsd
Špernogi	špernog	Agpmpny
za	za	Sa
kazneno	kazneni	Agpnsay
djelo	djelo	Ncnsa
iz	iz	Sg
članka	članak	Ncmsg
90.	90.	Mdo
u	u	Sl
svezi	sveza	Ncfsl
članka	članak	Ncmsg
33.	33.	Mdo

KZ-a	KZ-a	Npfsn
/	/	Z
97	97	Mdc
iz	iz	Sg
točke	točka	Ncfsg
1.	1.	Mdo
izreke	izreka	Ncfsg
pobijane	pobijati	Agpfsgy
presude	presuda	Ncfsg
na	na	Sl
temelju	temelj	Ncmsl
istih	isti	Agpfpgy
zakonskih	zakonski	Agpfpgy
odredbi	odredba	Ncfpg
utvrđuje	utvrđivati	Vmr3s
kazna	kazna	Ncfsn
zatvora	zatvor	Ncmsg
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
10	10	Mdc
(	(	Z
deset	deset	Mlc
)	)	Z
godina	godina	Ncfpg
,	,	Z
a	a	Cc
za	za	Sa
kaznena	kazneni	Agpnpay
djela	djelo	Ncnpa
iz	iz	Sg
članka	članak	Ncmsg
90.	90.	Mdo

KZ-a	KZ-a	Npfsn
/	/	Z
97	97	Mdc
iz	iz	Sg
točaka	točka	Ncfpg
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
izreke	izreka	Ncfsg
pobijane	pobijati	Agpfsgy
presude	presuda	Ncfsg
na	na	Sl
temelju	temelj	Ncmsl
istog	isti	Agpmsgy
zakonskog	zakonski	Agpmsgy
propisa	propis	Ncmsg
,	,	Z
kazne	kazna	Ncfsg
zatvora	zatvor	Ncmsg
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
po	po	Sa
14	14	Mdc
(	(	Z
četrnaest	četrnaest	Mlc
)	)	Z
godina	godina	Ncfpg
za	za	Sa
svako	svaki	Agpnsay
djelo	djelo	Ncnsa
,	,	Z
pa	pa	Cc
se	sebe	Px--sa
opt	opt	Ncmsn
.	.	Z

Jakob	Jakob	Npmsn
Špernoga	Šperni	Npmsay
uz	uz	Sa
primjenu	primjena	Ncfsa
članka	članak	Ncmsg
60.	60.	Mdo
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
točke	točka	Ncfsg
e	e	I
)	)	Z
KZ-a	KZ	Npmsg
/	/	Z
97	97	Mdc
osuđuje	osuđivati	Vmr3s
na	na	Sa
jedinstvenu	jedinstven	Agpfsay
kaznu	kazna	Ncfsa
dugotrajnog	dugotrajan	Agpmsgy
zatvora	zatvor	Ncmsg
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
35	35	Mdc
(	(	Z
trideset	trideset	Mlc
pet	pet	Mlc
)	)	Z
godina	godina	Ncfpg
,	,	Z
u	u	Sa
koju	koji	Pi-fsa
mu	on	Pp3msd
se	sebe	Px--sa
na	na	Sl
temelju	temelj	Ncmsl
članka	članak	Ncmsg
63.	63.	Mdo

KZ-a	KZ	Npmsg
/	/	Z
97	97	Mdc
uračunava	uračunavati	Vmr3s
vrijeme	vrijeme	Ncnsa
provedeno	provesti	Appnsny
u	u	Sl
pritvoru	pritvor	Ncmsl
i	i	Cc
istražnom	istražni	Agpmsly
zatvoru	zatvor	Ncmsl
od	od	Sg
23.	23.	Mdo
prosinca	prosinac	Ncmsg
2012.	2012.	Mdo
nadalje	nadalje	Rgp
.	.	Z

Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
je	biti	Var3s
potvrdio	potvrditi	Vmp-sm
utvrđenja	utvrđenje	Ncnsg
prvostupanjskog	prvostupanjski	Agpmsgy
suda	sud	Ncmsg
navodeći	navoditi	Rr
sljedeće	sljedeći	Agpnsay
:	:	Z

»	»	Z
(...)	(...)	Z
suprotno	suprotno	Rgp
žalbenim	žalbeni	Agpmpiy
navodima	navod	Ncmpi
,	,	Z
ovaj	ovaj	Pd-msn

