simulatorima	simulator	Ncmpd
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Pored	pored	Sg
uvjeta	uvjet	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
za	za	Sa
članove	član	Ncmpa
ispitnog	ispitan	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
koji	koji	Pi-mpn
sudjeluju	sudjelovati	Vmr3p
u	u	Sl
ispitima	ispit	Ncmpl
za	za	Sa
programe	program	Ncmpa
obrazovanja	obrazovanje	Ncnsg
odnosno	odnosno	Rgp
izobrazbe	izobrazba	Ncfsg
koji	koji	Pi-mpn
se	sebe	Px--sa
provode	provoditi	Vmr3p
uz	uz	Sa
pomoć	pomoć	Ncfsa
simulatora	simulator	Ncmsg
,	,	Z
potrebno	potreban	Agpnsny
je	biti	Var3s
osigurati	osigurati	Vmn
da	da	Cs
je	biti	Var3s
svaki	svaki	Pi-msn
takav	takav	Pd-msn
član	član	Ncmsn
ispitnog	ispitan	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
stekao	steći	Vmp-sm
praktično	praktičan	Agpnsay
radno	radni	Agpnsay
iskustvo	iskustvo	Ncnsa
na	na	Sl
vrsti	vrsta	Ncfsl
simulatora	simulator	Ncmsg
koji	koji	Pi-msn
se	sebe	Px--sa
koristi	koristiti	Vmr3s
tijekom	tijekom	Sg
održavanja	održavanje	Ncnsg
ispita	ispit	Ncmsg
,	,	Z
a	a	Cc
što	što	Pi3n-n
se	sebe	Px--sa
dokazuje	dokazivati	Vmr3s
odgovarajućom	odgovarajući	Agpfsiy
potvrdnicom	potvrdnica	Ncfsi
.	.	Z
«	«	Z

(	(	Z
3	3	Mdc
)	)	Z
Dosadašnji	dosadašnji	Agpmpny
stavci	stavak	Ncmpn
3.	3.	Mdo
i	i	Cc
4.	4.	Mdo
postaju	postati	Vmr3p
stavci	stavak	Ncmpn
5.	5.	Mdo
i	i	Cc
6.	6.	Mdo

Članak	članak	Ncmsn
35.	35.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
članku	članak	Ncmsl
98.	98.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
riječi	riječ	Ncfpg
»	»	Z
ili	ili	Cc
obnovu	obnova	Ncfsa
«	«	Z
se	sebe	Px--sa
brišu	brisati	Vmr3p
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Iza	iza	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
novi	nov	Agpmsny
stavak	stavak	Ncmsn
2.	2.	Mdo
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
2	2	Mdc
)	)	Z
Ispitno	ispitan	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
za	za	Sa
obnovu	obnova	Ncfsa
svjedodžbi	svjedodžba	Ncfpg
iz	iz	Sg
članaka	članak	Ncmpg
17.	17.	Mdo
,	,	Z
20.	20.	Mdo
,	,	Z
21.	21.	Mdo
,	,	Z
25.	25.	Mdo
,	,	Z
31.	31.	Mdo
,	,	Z
34.	34.	Mdo
i	i	Cc
35.	35.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
čine	činiti	Vmr3p
predsjednik	predsjednik	Ncmsn
i	i	Cc
dva	dva	Mlc
člana	član	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Dosadašnji	dosadašnji	Agpmpny
stavci	stavak	Ncmpn
2.	2.	Mdo
,	,	Z
3.	3.	Mdo
,	,	Z
4.	4.	Mdo
i	i	Cc
5.	5.	Mdo
postaju	postati	Vmr3p
članci	članak	Ncmpn
3.	3.	Mdo
,	,	Z
4.	4.	Mdo
,	,	Z
5.	5.	Mdo
i	i	Cc
6.	6.	Mdo

Članak	članak	Ncmsn
36.	36.	Mdo

U	u	Sl
članku	članak	Ncmsl
102.	102.	Mdo
iza	iza	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
novi	nov	Agpmsny
stavak	stavak	Ncmsn
6.	6.	Mdo
koji	koji	Pi-msn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
6	6	Mdc
)	)	Z
Opći	opći	Agpmpny
standardi	standard	Ncmpn
uspješnosti	uspješnost	Ncfsg
pri	pri	Sl
ocjenjivanju	ocjenjivanje	Ncnsl
osposobljenosti	osposobljenost	Ncfsg
na	na	Sl
simulatorima	simulator	Ncmpl
utvrđeni	utvrditi	Appmpny
u	u	Sl
Prilogu	prilog	Ncmsl
G3	G3	Pi-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z
«	«	Z

Članak	članak	Ncmsn
37.	37.	Mdo

Članak	članak	Ncmsn
113.	113.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Članak	članak	Ncmsn
113.	113.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Svjedodžbe	svjedodžba	Ncfpn
o	o	Sl
osposobljenosti	osposobljenost	Ncfsl
izdane	izdati	Appfpny
od	od	Sg
nadležnih	nadležan	Agpnpgy
tijela	tijelo	Ncnpg
država	država	Ncfpg
članica	članica	Ncfpg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
i	i	Cc
trećih	treći	Mlofpg
država	država	Ncfpg
priznatih	priznati	Appfpgy
od	od	Sg
strane	strana	Ncfsg
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpl
direktive	direktiva	Ncfsg
kojom	koji	Pi-fsi
se	sebe	Px--sa
uređuju	uređivati	Vmr3p
minimalni	minimalan	Agpmpny
standardi	standard	Ncmpn
izobrazbe	izobrazba	Ncfsg
pomoraca	pomorac	Ncmpg
,	,	Z
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
priznaju	priznati	Vmr3p
se	sebe	Px--sa
ako	ako	Cs
su	biti	Var3p
priznate	priznati	Vmr2p
od	od	Sg
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
,	,	Z
te	te	Cc
ukoliko	ukoliko	Cs
Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
sa	sa	Si
odnosnom	odnosni	Agpfsiy
trećom	treći	Ncfsi
državom	država	Ncfsi
ima	imati	Vmr3s
sklopljen	sklopiti	Appmsnn
odgovarajući	odgovarajući	Agpmsny
sporazum	sporazum	Ncmsn
o	o	Sl
priznavanju	priznavanje	Ncnsl
svjedodžbi	svjedodžba	Ncfpg
sukladno	sukladan	Agpnsny
odredbama	odredba	Ncfpd
STCW	STCW	Pd-fsg
Konvencije	konvencija	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Svjedodžbe	svjedodžba	Ncfpn
o	o	Sl
dopunskoj	dopunski	Agpfsly
osposobljenosti	osposobljenost	Ncfsl
za	za	Sa
rad	rad	Ncmsan
na	na	Sl
tankerima	tanker	Ncmpl
za	za	Sa
zapovjednike	zapovjednik	Ncmpa
broda	brod	Ncmsg
i	i	Cc
časnike	časnik	Ncmpa
palube	paluba	Ncfsg
odnosno	odnosno	Rgp
stroja	stroj	Ncmpg
izdanih	izdan	Agpmpgy
od	od	Sg
strane	strana	Ncfsg
država	država	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
priznaju	priznati	Vmr3p
se	sebe	Px--sa
ako	ako	Cs
su	biti	Var3p
priznate	priznati	Vmr2p
od	od	Sg
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
,	,	Z
te	te	Cc
ukoliko	ukoliko	Cs
Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
sa	sa	Si
odnosnom	odnosni	Agpfsiy
trećom	treći	Ncfsi
državom	država	Ncfsi
ima	imati	Vmr3s
sklopljen	sklopiti	Appmsnn
odgovarajući	odgovarajući	Agpmsny
sporazum	sporazum	Ncmsn
o	o	Sl
priznavanju	priznavanje	Ncnsl
svjedodžbi	svjedodžba	Ncfpg
sukladno	sukladan	Agpnsny
odredbama	odredba	Ncfpd
STCW	STCW	Pd-fsg
Konvencije	konvencija	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Na	na	Sa
zahtjeve	zahtjev	Ncmpa
imatelja	imatelj	Ncmpg
svjedodžbe	svjedodžba	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
izdaje	izdaja	Ncfsg

