laboratorijskim	laboratorijski	Agpfpiy
kontroli	kontrola	Ncfsl
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Na	na	Sa
zahtjev	zahtjev	Ncmsan
stranke	stranka	Ncfsg
izdat	izdati	Vmn
će	htjeti	Var3p
se	sebe	Px--sa
pisani	pisan	Agpmsny
otpravak	otpravak	Ncmsn
rješenja	rješenje	Ncnsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
osam	osam	Mlc
dana	dan	Ncmpg
.	.	Z

Prisilno	prisilan	Agpnsny
izvršenje	izvršenje	Ncnsn
nenovčanih	nenovčan	Agpfpgy
obveza	obveza	Ncfpg
novčanom	novčan	Agpfsiy
kaznom	kazna	Ncfsi

Članak	članak	Ncmsn
168.	168.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nadzirana	nadzirati	Appfsny
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
nakon	nakon	Cs
što	što	Cs
rješenje	rješenje	Ncnsn
postane	postati	Vmr3s
izvršno	izvršan	Agpnsny
ne	ne	Qz
postupi	postupiti	Vmr3s
po	po	Sl
rješenju	rješenje	Ncnsl
,	,	Z
kaznit	kazniti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sa
svrhu	svrha	Ncfsa
izvršenja	izvršenje	Ncnsg
rješenja	rješenje	Ncnsg
novčanom	novčan	Agpfsiy
kaznom	kazna	Ncfsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Odgovornoj	odgovoran	Agpfsly
osobi	osoba	Ncfsl
u	u	Sl
pravnoj	pravni	Agpfsly
osobi	osoba	Ncfsl
će	htjeti	Var3s
se	sebe	Px--sa
prvi	prvi	Mlomsan
put	put	Rgp
rješenjem	rješenje	Ncnsi
odrediti	odrediti	Vmn
kazna	kazna	Ncfsn
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
10.000,00	10.000,00	Mdc
kuna	kuna	Ncfpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Fizičkoj	fizički	Agpfsdy
osobi	osoba	Ncfsd
će	htjeti	Var3s
se	sebe	Px--sa
prvi	prvi	Mlomsan
put	put	Rgp
rješenjem	rješenje	Ncnsi
odrediti	odrediti	Vmn
kazna	kazna	Ncfsn
u	u	Sl
iznosu	iznos	Ncmsl
od	od	Sg
5000,00	5000,00	Mdc
kuna	kuna	Ncfpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ako	ako	Cs
odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
u	u	Sl
pravnoj	pravni	Agpfsly
osobi	osoba	Ncfsl
i	i	Cc
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
ne	ne	Qz
ispune	ispuniti	Vmr3p
novčanu	novčan	Agpfsay
obvezu	obveza	Ncfsa
po	po	Sl
stavcima	stavak	Ncmpl
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
novčana	novčan	Agpfsny
kazna	kazna	Ncfsn
izreći	izreći	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
ponovno	ponovno	Rgp
u	u	Sl
istom	isti	Agpmsly
iznosu	iznos	Ncmsl
.	.	Z

Ako	ako	Cs
je	biti	Var3s
potrebno	potreban	Agpnsny
,	,	Z
novčana	novčan	Agpfsny
kazna	kazna	Ncfsn
izreći	izreći	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
više	mnogo	Rgc
puta	puta	Rgp
u	u	Sl
istom	isti	Agpmsly
iznosu	iznos	Ncmsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Rješenje	rješenje	Ncnsn
o	o	Sl
novčanoj	novčan	Agpfsly
kazni	kazna	Ncfsl
s	sa	Si
potvrdom	potvrda	Ncfsi
izvršnosti	izvršnost	Ncfsg
provodi	provoditi	Vmr3s
se	sebe	Px--sa
putem	put	Sg
nadležnog	nadležan	Agpmsgy
suda	sud	Ncmsg
.	.	Z

Inicijative	inicijativa	Ncfpn
za	za	Sa
postupanje	postupanje	Ncnsa
drugih	drugi	Mlonpg
tijela	tijelo	Ncnpg

Članak	članak	Ncmsn
169.	169.	Mdo

Ako	ako	Cs
inspektor	inspektor	Ncmsn
u	u	Sl
provedbi	provedba	Ncfsl
službenih	služben	Agpfpgy
kontrola	kontrola	Ncfpg
utvrdi	utvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
povrijeđen	povrijediti	Appmsnn
zakon	zakon	Ncmsn
ili	ili	Cc
drugi	drugi	Mlomsan
propis	propis	Ncmsan
iz	iz	Sg
nadležnosti	nadležnost	Ncfsg
drugog	drugi	Agpnsgy
tijela	tijelo	Ncnsg
,	,	Z
obvezan	obvezan	Agpmsnn
je	biti	Var3s
o	o	Sl
tome	taj	Pd-nsl
bez	bez	Sg
odgode	odgoda	Ncfsg
obavijestiti	obavijestiti	Vmn
nadležno	nadležan	Agpnsay
tijelo	tijelo	Ncnsa
.	.	Z

Žalba	žalba	Ncfsn

Članak	članak	Ncmsn
170.	170.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Protiv	protiv	Sg
rješenja	rješenje	Ncnsg
poljoprivrednoga	poljoprivredni	Agpnsgy
i	i	Cc
fitosanitarnog	fitosanitarni	Agpmsgy
inspektora	inspektor	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
15	15	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
dostave	dostava	Ncfsg
rješenja	rješenje	Ncnsg
izjaviti	izjaviti	Vmn
žalba	žalba	Ncfsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Žalba	žalba	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
odgađa	odgađati	Vmr3s
izvršenje	izvršenje	Ncnsa
rješenja	rješenje	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
O	o	Sl
žalbama	žalba	Ncfpl
protiv	protiv	Sg
rješenja	rješenje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
rješavaju	rješavati	Vmr3p
povjerenstva	povjerenstvo	Ncnsg
za	za	Sa
žalbe	žalba	Ncfpa
pri	pri	Sl
Ministarstvu	ministarstvo	Ncnsl
vezana	vezan	Agpfsny
za	za	Sa
pojedina	pojedini	Agpnpay
područja	područje	Ncnpa
iz	iz	Sg
ovog	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Protiv	protiv	Sg
rješenja	rješenje	Ncnsg
drugostupanjskoga	drugostupanjski	Agpnsgy
tijela	tijelo	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
žalba	žalba	Ncfsn
nije	biti	Var3s
dopuštena	dopustiti	Appfsny
,	,	Z
već	već	Rgp
se	sebe	Px--sa
može	moći	Vmr3s
pokrenuti	pokrenuti	Vmn
upravni	upravan	Agpmsayn
spor	spor	Ncmsan
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Povjerenstva	povjerenstvo	Ncnsg
za	za	Sa
žalbe	žalba	Ncfpa
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
imenuje	imenovati	Vmr3s
Vlada	Vlada	Npfsn
,	,	Z
a	a	Cc
čine	činiti	Vmr3p
ih	oni	Pp3-pa
tri	tri	Mlc
člana	član	Ncmsg
i	i	Cc
zamjenski	zamjenski	Agpmsny
član	član	Ncmsn
,	,	Z
od	od	Sg
kojih	koji	Pi-mpg
predsjednik	predsjednik	Ncmsn
ima	imati	Vmr3s
završen	završiti	Appmsnn
sveučilišni	sveučilišni	Agpmsny
diplomski	diplomski	Agpmsny
studij	studij	Ncmsn
pravne	pravni	Agpfsgy
struke	struka	Ncfsg
i	i	Cc
položen	položiti	Appmsnn
državni	državni	Agpmsny
stručni	stručan	Agpmsny
ispit	ispit	Ncmsn
,	,	Z
a	a	Cc

