Zagrebu	zagrepsti	Vmr3p
2.	2.	Mdo
Ustavnog	ustavan	Agpmsgy
zakona	zakon	Ncmsg
,	,	Z
donesena	donijeti	Appfsny
je	biti	Var3s
odluka	odluka	Ncfsn
kao	kao	Cs
u	u	Sl
točkama	točka	Ncfpl
I.		Agpfply
i	i	Cc
II	ii	Mrc
.	.	Z
izreke	izreka	Ncfpa
.	.	Z

Na	na	Sl
temelju	temelj	Ncmsl
članka	članak	Ncmsg
31.	31.	Mdo
stavaka	stavak	Ncmpg
4.	4.	Mdo
i	i	Cc
5.	5.	Mdo
Ustavnog	ustavan	Agpmsgy
zakona	zakon	Ncmsg
određuje	određivati	Vmr3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
predsjednik	predsjednik	Ncmsn
Žalbenog	žalbeni	Agpnsgy
vijeća	vijeće	Ncnsg
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
Ustavnom	ustavan	Agpmsdy
sudu	sud	Ncmsd
pisanu	pisan	Agpfsay
obavijest	obavijest	Ncfsa
o	o	Sl
datumima	datum	Ncmpl
donošenja	donošenje	Ncnsg
i	i	Cc
otpreme	otprema	Ncfsg
odluke	odluka	Ncfsg
u	u	Sl
roku	rok	Ncmsl
osam	osam	Mlc
(	(	Z
8	8	Mdc
)	)	Z
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
njene	njen	Ps3fsg
otpreme	otprema	Ncfsg
,	,	Z
a	a	Cc
najkasnije	kasno	Rgs
osam	osam	Mlc
(	(	Z
8	8	Mdc
)	)	Z
dana	dan	Ncmpg
od	od	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
određenog	određen	Agpmsgy
u	u	Sl
točki	točka	Ncfsl
II	ii	Mrc
.	.	Z
izreke	izreka	Ncfpa
ove	ovaj	Pd-fsg
odluke	odluka	Ncfsg
.	.	Z

17.	17.	Mdo

Sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
63.	63.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
Ustavnog	ustavan	Agpmsgy
zakona	zakon	Ncmsg
,	,	Z
odlučeno	odlučiti	Appnsny
je	biti	Var3s
kao	kao	Cs
u	u	Sl
točkama	točka	Ncfpl
III	III	Mrc
.	.	Z
i	i	Cc
IV	IV	Mrc
.	.	Z
izreke	izreka	Ncfpa
ove	ovaj	Pd-fsg
odluke	odluka	Ncfsg
.	.	Z

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
utvrđuje	utvrđivati	Vmr3s
visinu	visina	Ncfsa
naknade	naknada	Ncfsg
,	,	Z
zbog	zbog	Sg
povrede	povreda	Ncfsg
prava	pravo	Ncnsg
na	na	Sa
suđenje	suđenje	Ncnsa
u	u	Sl
razumnom	razuman	Agpmsly
roku	rok	Ncmsl
,	,	Z
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
okolnosti	okolnost	Ncfsg
svakog	svaki	Pi-msg
pojedinog	pojedini	Agpmsgy
predmeta	predmet	Ncmsg
,	,	Z
uz	uz	Sa
istodobno	istodoban	Agpnsay
uvažavanje	uvažavanje	Ncnsa
ukupnih	ukupan	Agpfpgy
gospodarskih	gospodarski	Agpfpgy
i	i	Cc
socijalnih	socijalan	Agpfpgy
prilika	prilika	Ncfpg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z

Obrazloženje	obrazloženje	Ncnsn
rješenja	rješenje	Ncnsg

18.	18.	Mdo

U	u	Sl
ustavnoj	ustavan	Agpfsly
tužbi	tužba	Ncfsl
podnositelj	podnositelj	Ncmsn
je	biti	Var3s
istaknuo	istaknuti	Vmp-sm
i	i	Cc
povredu	povreda	Ncfsa
prava	pravo	Ncnsg
na	na	Sa
razumnu	razuman	Agpfsay
duljinu	duljina	Ncfsa
trajanja	trajanje	Ncnsg
postupka	postupak	Ncmsg
u	u	Sl
žalbenim	žalbeni	Agpmply
predmetima	predmet	Ncmpl
broj	broj	Ncmsn
:	:	Z
VZ20130036	VZ20130036	Mdo
i	i	Cc
VZ20130046	VZ20130046	X
.	.	Z

19.	19.	Mdo

Članak	članak	Ncmsn
72.	72.	Mdo

Ustavnog	ustavan	Agpmsgy
zakona	zakon	Ncmsg
propisuje	propisivati	Vmr3s
:	:	Z

»	»	Z
Članak	članak	Ncmsn
72.	72.	Mdo

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
će	htjeti	Var3s
rješenjem	rješenje	Ncnsi
odbaciti	odbaciti	Vmn
ustavnu	ustavan	Agpfsay
tužbu	tužba	Ncfsa
:	:	Z
…	…	Z
ako	ako	Cs
je	biti	Var3s
ustavna	ustavan	Agpfsny
tužba	tužba	Ncfsn
…	…	Z
nedopuštena	nedopušten	Agpfsny
.	.	Z

Tužba	tužba	Ncfsn
je	biti	Var3s
nedopuštena	nedopušten	Agpfsny
:	:	Z
…	…	Ncfsn
ako	ako	Cs
podnositelj	podnositelj	Ncmsn
tužbe	tužba	Ncfsg
u	u	Sl
prethodnom	prethodan	Agpmsly
postupku	postupak	Ncmsl
nije	biti	Var3s
koristio	koristiti	Vmp-sm
dopušteno	dopustiti	Appnsny
pravno	pravni	Agpnsny
sredstvo	sredstvo	Ncnsn
…	…	Z
«	«	Z

20.	20.	Mdo

Polazeći	polaziti	Rr
od	od	Sg
sadržaja	sadržaj	Ncmsg
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
je	biti	Var3s
utvrdio	utvrditi	Vmp-sm
da	da	Cs
podnositelj	podnositelj	Ncmsn
u	u	Sl
ustavnoj	ustavan	Agpfsly
tužbi	tužba	Ncfsl
nije	biti	Var3s
dokazao	dokazati	Vmp-sm
da	da	Cs
je	biti	Var3s
tijekom	tijekom	Sg
postupka	postupak	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
prethodio	prethoditi	Vmp-sm
ustavnosudskom	ustavnosudski	Agpmsly
postupku	postupak	Ncmsl
koristio	koristiti	Vmp-sm
pravne	pravni	Agpmpay
lijekove	lijek	Ncmpa
protiv	protiv	Sg
»	i	Agpfsgy
šutnje	šutnja	Ncfsg
uprave	uprava	Ncfsg
«	«	Z
propisane	propisati	Appfpny
člankom	članak	Ncmsi
218.	218.	Mdo
stavkom	stavka	Ncfsi
2.	2.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
općem	opći	Agpmsly
upravnom	upravan	Agpmsly
postupku	postupak	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
53/91.	53/91.	Mdo
i	i	Cc
103/96.	103/96.	Mds
)	)	Z
,	,	Z
odnosno	odnosno	Rgp
člankom	članak	Ncmsi
26.	26.	Mdo
stavcima	stavak	Ncmpi
1.	1.	Mdo
i	i	Cc
3.	3.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpmply
sporovima	spor	Ncmpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
53/91.	53/91.	Mdo
,	,	Z
9/92.	9/92.	Mdo
i	i	Cc
77/92.	77/92.	Mds
)	)	Z
.	.	Z

Također	također	Rgp
,	,	Z
iz	iz	Sg
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg
nije	biti	Var3s
razvidno	razvidan	Agpnsny
da	da	Cs
je	biti	Var3s
podnositelj	podnositelj	Ncmsn
koristio	koristiti	Vmp-sm
pravna	pravni	Agpnpay
sredstva	sredstvo	Ncnpa
protiv	protiv	Sg
»	i	Agpfsgy
šutnje	šutnja	Ncfsg
uprave	uprava	Ncfsg
«	«	Z
koje	koji	Pi-fpa
propisuje	propisivati	Vmr3s
članak	članak	Ncmsn
105.	105.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
općem	opći	Agpmsly
upravnom	upravan	Agpmsly
postupku	postupak	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
47/09.	47/09.	Mdo
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
stupio	stupiti	Vmp-sm
na	na	Sa
snagu	snaga	Ncfsa
1.	1.	Mdo
siječnja	siječanj	Ncmsg
2010.	2010.	Mdo
)	)	Z
te	te	Cc
članak	članak	Ncmsn
24.	24.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpmply
sporovima	spor	Ncmpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
20/10.	20/10.	Mdo
,	,	Z
koji	koji	Pi-msn
je	biti	Var3s
stupio	stupiti	Vmp-sm
na	na	Sa
snagu	snaga	Ncfsa
1.	1.	Mdo
siječnja	siječanj	Ncmsg
2012.	2012.	Mdo
)	)	Z
.	.	Z

S	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
navedeno	naveden	Agpnsay
,	,	Z
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
u	u	Sl
ovom	ovaj	Pd-msl
ustavnosudskom	ustavnosudski	Agpmsly
postupku	postupak	Ncmsl
nije	biti	Var3s
mogao	moći	Vmp-sm
ispitati	ispitati	Vmn
ni	ni	Qo
eventualnu	eventualan	Agpfsay
djelotvornost	djelotvornost	Ncfsa
tih	taj	Pd-mpg
pravnih	pravni	Agpnpgy
sredstava	sredstvo	Ncnpg
u	u	Sl
konkretnoj	konkretan	Agpfsly
upravnoj	upravan	Agpfsly
stvar	stvar	Ncfsl
,	,	Z
a	a	Cc
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
žalbene	žalbeni	Agpmpay
predmete	predmet	Ncmpa
broj	broj	Ncmsn
:	:	Z
VZ20130036	VZ20130036	Mdo
i	i	Cc
VZ20130046	VZ20130046	X
.	.	Z

21.	21.	Mdo

Polazeći	polaziti	Rr
od	od	Sg
dosadašnje	dosadašnji	Agpfsgy
upravne	upravan	Agpfsgy
prakse	praksa	Ncfsg
,	,	Z
naime	naime	Qo
,	,	Z
nesporno	nesporan	Agpnsny
je	biti	Var3s
da	da	Cs
je	biti	Var3s
cjelokupni	cjelokupan	Agpmsny
postupak	postupak	Ncmsn
mogao	moći	Vmp-sm
,	,	Z
ali	ali	Cc
i	i	Qo
nije	biti	Var3s
morao	morati	Vmp-sm
,	,	Z
trajati	trajati	Vmn
kraće	kratko	Rgc
da	da	Cs
je	biti	Var3s
podnositelj	podnositelj	Ncmsn
iskoristio	iskoristiti	Vmp-sm
pravo	pravo	Ncnsa
na	na	Sa
žalbu	žalba	Ncfsa
,	,	Z
odnosno	odnosni	Agpnsay
pravo	pravo	Ncnsa
na	na	Sa
tužbu	tužba	Ncfsa
zbog	zbog	Sg
»	i	Agpfsgy
šutnje	šutnja	Ncfsg
uprave	uprava	Ncfsg
«	«	Z
.	.	Z

No	no	Cc
,	,	Z
kako	kako	Cs
podnositelj	podnositelj	Ncmsn
ustavnom	ustavan	Agpfsiy
tužbom	tužba	Ncfsi
nije	biti	Var3s
dokazao	dokazati	Vmp-sm
da	da	Cs
je	biti	Var3s
ta	taj	Pd-fsn
pravna	pravni	Agpnpay
sredstva	sredstvo	Ncnpa
koristio	koristiti	Vmp-sm
,	,	Z
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
u	u	Sl
povodu	povod	Ncmsl
tog	taj	Pd-msg
dijela	dio	Ncmsg
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg
nije	biti	Var3s
nadležan	nadležan	Agpmsnn
ispitivati	ispitivati	Vmn
in	in	Agpmsnn
abstracto	abstracto	Ncnsa
bi	biti	Vaa3s
li	li	Qq
njihovo	njihov	Agpnsny
podnošenje	podnošenje	Ncnsn
dovelo	dovesti	Vmp-sn
do	do	Sg

