krajnjih	krajnji	Agpmpgy
je	biti	Var3s
kako	kako	Cs
radi	raditi	Vmr3s
uklanjanje	uklanjanje	Ncnsa
te	taj	Pd-fsg
nepravilnosti	nepravilnost	Ncfsg
tužitelj	tužitelj	Ncmsn
treba	trebati	Vmr3s
odustati	odustati	Vmn
od	od	Sg
sklapanja	sklapanje	Ncnsg
ugovora	ugovor	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
dobio	dobiti	Vmp-sm
na	na	Sl
temelju	temelj	Ncmsl
nezakonitih	nezakonit	Agpfpgy
cijena	cijena	Ncfpg
,	,	Z
odnosno	odnosno	Rgp
raskinuti	raskinuti	Vmn
tako	tako	Rgp
sklopljene	sklopiti	Appmpay
ugovore	ugovor	Ncmpa
.	.	Z

U	u	Sl
protivnom	protivan	Agpmsly
,	,	Z
tužitelju	tužitelj	Ncmsl
bi	biti	Vaa3s
se	sebe	Px--sa
omogućilo	omogućiti	Vmp-sn
nesmetano	nesmetan	Agpnsny
pružanje	pružanje	Ncnsn
usluga	usluga	Ncfpg
po	po	Sl
nezakonitim	nezakonit	Agpfply
cijenama	cijena	Ncfpl
,	,	Z
što	što	Pi3n-n
bi	biti	Vaa3s
bilo	biti	Vap-sn
suprotno	suprotan	Agpnsny
cilju	cilj	Ncmsl
i	i	Cc
svrsi	svrha	Ncfsl
inspekcijskog	inspekcijski	Agpmsgy
nadzora	nadzor	Ncmsg
.	.	Z

Nadalje	nadalje	Rgp
,	,	Z
vezano	vezan	Agpnsny
za	za	Sa
navodno	navodni	Agpnsay
pogrešno	pogrešan	Agpnsay
ili	ili	Cc
nepotpuno	nepotpuno	Rgp
utvrđeno	utvrditi	Agpnsny
činjenično	činjeničan	Agpnsny
stanje	stanje	Ncnsn
tuženik	tuženik	Ncmsn
smatra	smatrati	Vmr3s
kako	kako	Cs
su	biti	Var3p
navodi	navoditi	Vmr3s
očigledno	očigledno	Rgp
netočni	netočan	Agpmpny
budući	budući	Cs
da	da	Cs
činjenično	činjeničan	Agpnsay
stanje	stanje	Ncnsa
ovog	ovaj	Pd-msg
predmeta	predmet	Ncmsg
uopće	uopće	Rgp
nije	biti	Var3s
sporno	sporan	Agpnsny
.	.	Z

Što	što	Qo
više	mnogo	Rgc
,	,	Z
u	u	Sl
svojem	svoj	Px-nsl
očitovanju	očitovanje	Ncnsl
tužitelj	tužitelj	Ncmsn
uopće	uopće	Rgp
nije	biti	Var3s
dokazivao	dokazivati	Vmp-sm
da	da	Cs
su	biti	Var3p
cijene	cijena	Ncfpn
ponuđene	ponuditi	Appfpny
u	u	Sl
postocima	postotak	Ncmpl
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
bile	biti	Vap-pf
sukladno	sukladno	Rgp
regulatornoj	regulatoran	Agpfsly
obvezi	obveza	Ncfsl
nadzora	nadzor	Ncmsg
cijena	cijena	Ncfpg
.	.	Z

To	taj	Pd-nsn
što	što	Cs
više	mnogo	Rgc
,	,	Z
tužitelj	tužitelj	Ncmsn
ne	ne	Qz
može	moći	Vmr3s
utvrditi	utvrditi	Vmn
čak	čak	Qo
niti	niti	Qo
to	taj	Pd-nsn
da	da	Cs
nije	biti	Var3s
bio	biti	Vap-sm
upoznat	upoznati	Appmsnn
s	sa	Si
pravnim	pravni	Agpmsiy
stavom	stav	Ncmsi
tuženika	tuženik	Ncmpg
oko	oko	Sg
primjene	primjena	Ncfsg
regulatorne	regulatoran	Agpfsgy
obveze	obveza	Ncfsg
nadzora	nadzor	Ncmsg
cijena	cijena	Ncfpg
na	na	Sa
postupke	postupak	Ncmpa
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
.	.	Z

Između	između	Sg
ostalog	ostali	Agpnsgy
,	,	Z
glede	glede	Sg
navodne	navodni	Agpfsgy
povrede	povreda	Ncfsg
pravila	pravilo	Ncnsg
postupka	postupak	Ncmsg
tuženik	tuženik	Ncmsn
smatra	smatrati	Vmr3s
kako	kako	Cs
tvrdnja	tvrdnja	Ncfsn
tužitelja	tužitelj	Ncmpg
da	da	Cs
su	biti	Var3p
mu	on	Pp3msd
nepoznati	nepoznat	Agpmpny
razlozi	razlog	Ncmpn
na	na	Sl
temelju	temelj	Ncmsl
kojih	koji	Pi-mpg
je	biti	Var3s
doneseno	donijeti	Appnsny
osporeno	osporiti	Appnsny
rješenje	rješenje	Ncnsn
zapravo	zapravo	Rgp
predstavlja	predstavljati	Vmr3s
stav	stav	Ncmsan
tužitelja	tužitelj	Ncmpg
o	o	Sl
tim	taj	Pd-mpl
razlozima	razlog	Ncmpl
,	,	Z
međutim	međutim	Rgp
,	,	Z
evidentno	evidentno	Rgp
je	biti	Var3s
,	,	Z
da	da	Cs
su	biti	Var3p
u	u	Sl
smislu	smisao	Ncmsl
odredbe	odredba	Ncfsg
članka	članak	Ncmsg
98.	98.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
u	u	Sl
obrazloženju	obrazloženje	Ncnsl
vrlo	vrlo	Rgp
jasno	jasno	Rgp
navedeni	navesti	Appmpny
razlozi	razlog	Ncmpn
donošenja	donošenje	Ncnsg
odluke	odluka	Ncfsg
kao	kao	Cs
u	u	Sl
izreci	izreka	Ncfsl
osporenog	osporiti	Agpnsgy
rješenja	rješenje	Ncnsg
.	.	Z

Također	također	Rgp
,	,	Z
vezano	vezan	Agpnsny
za	za	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
odgodnim	odgodnia	Ncfpa
učinkom	učinak	Ncmsi
tužbe	tužba	Ncfsg
i	i	Cc
zahtjevom	zahtjev	Ncmsi
za	za	Sa
održavanje	održavanje	Ncnsa
usmene	usmen	Agpfsgy
rasprave	rasprava	Ncfsg
tuženik	tuženik	Ncmsn
smatra	smatrati	Vmr3s
navedene	naveden	Agpmpay
zahtjeve	zahtjev	Ncmpa
neosnovanim	neosnovan	Agpnsiy
time	taj	Pd-nsi
da	da	Cs
je	biti	Var3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
održavanjem	održavanje	Ncnsi
usmene	usmen	Agpfsgy
rasprave	rasprava	Ncfsg
prepušta	prepuštati	Vmr3s
odluku	odluka	Ncfsa
sudu	sud	Ncmsd
te	te	Cc
predlaže	predlagati	Vmr3s
sudu	sud	Ncmsd
da	da	Cs
tužbu	tužba	Ncfsa
odbije	odbiti	Vmr3s
kao	kao	Cs
neosnovanu	neosnovan	Agpfsay
.	.	Z

Zainteresirana	zainteresiran	Agpfsny
osoba	osoba	Ncfsn
OT	O	Npmsg
Optima	Optim	Npmsg
Telekom	telekom	Ncmsg
d.	d.	Y
d.	d.	Y
iz	iz	Sg
Zagreba	Zagreb	Npmsg
,	,	Z
u	u	Sl
odgovoru	odgovor	Ncmsl
na	na	Sa
tužbu	tužba	Ncfsa
u	u	Sl
bitnom	bitan	Agpnsly
navodi	navoditi	Vmr3s
da	da	Cs
se	sebe	Px--sa
nikakvim	nikakav	Pi-nsi
tumačenjem	tumačenje	Ncnsi
zakona	zakon	Ncmsg
ne	ne	Qz
može	moći	Vmr3s
izvesti	izvesti	Vmn
zaključak	zaključak	Ncmsan
da	da	Cs
se	sebe	Px--sa
odredba	odredba	Ncfsn
članka	članak	Ncmsg
41.	41.	Mdo
stavka	stavak	Ncmsg
11.	11.	Mdo

Zakona	zakon	Ncmsg
ne	ne	Qz
primjenjuje	primjenjivati	Vmr3s
na	na	Sa
regulatornu	regulatoran	Agpfsay
obvezu	obveza	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
63.	63.	Mdo

ZEK-a	ZEK	Npmsg
,	,	Z
odnosno	odnosno	Rgp
da	da	Cs
se	sebe	Px--sa
regulatorna	regulatoran	Agpfsny
obveza	obveza	Ncfsn
nadzora	nadzor	Ncmsg
maloprodajnih	maloprodajni	Agpfpgy
cijena	cijena	Ncfpg
usluga	usluga	Ncfpg
ne	ne	Qz
primjenjuje	primjenjivati	Vmr3s
na	na	Sa
cijene	cijena	Ncfpa
ponuđene	ponuditi	Appfpny
u	u	Sl
postupcima	postupak	Ncmpl
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
.	.	Z

S	sa	Si
obzirom	obzir	Ncmsi
da	da	Cs
je	biti	Var3s
inspektor	inspektor	Ncmsn
utvrdio	utvrditi	Vmp-sm
nezakonitosti	nezakonitost	Ncfpa
u	u	Sa
sve	sav	Agpfpay
tri	tri	Mlc
ponude	ponuda	Ncfsg
tužitelja	tužitelj	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
da	da	Cs
su	biti	Var3p
iskazane	iskazati	Appfpny
cijene	cijena	Ncfpn
protivne	protivan	Agpfpny
regulatornoj	regulatoran	Agpfsly
obvezi	obveza	Ncfsl
nadzora	nadzor	Ncmsg
maloprodajnih	maloprodajni	Agpfpgy
cijena	cijena	Ncfpg
usluga	usluga	Ncfpg
određenoj	odrediti	Appfsly
tužitelju	tužitelj	Ncmsd
sukladno	sukladan	Agpnsny
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
63.	63.	Mdo

ZEK-a	ZEK	Npmsg
,	,	Z
koji	koji	Pi-msn
zakon	zakon	Ncmsn
je	biti	Var3s
za	za	Sa
tužitelja	tužitelj	Ncmsay
kogentne	kogentan	Agpfsgy
naravi	narav	Ncfsg
,	,	Z
to	taj	Pd-nsn
je	biti	Var3s
inspektor	inspektor	Ncmsn
morao	morati	Vmp-sm
uzeti	uzeti	Vmn
u	u	Sa
obzir	obzir	Ncmsan
i	i	Cc
činjenice	činjenica	Ncfpn
da	da	Cs
su	biti	Var3p
sklopljeni	sklopiti	Appmpny
ugovori	ugovor	Ncmpn
temeljem	temelj	Ncmsi
tih	taj	Pd-fpg
nezakonitih	nezakonit	Agpfpgy
ponuda	ponuda	Ncfpg
ništetni	ništetan	Agpmsny
sukladno	sukladno	Rgp
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
322.	322.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
obveznim	obvezan	Agpmply
odnosima	odnos	Ncmpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
35/05.	35/05.	Mdo
,	,	Z
41/08.	41/08.	Mds
,	,	Z
125/11.	125/11.	Mds
)	)	Z
jer	jer	Cs
jedna	jedan	Mlcfsn
ugovorna	ugovoran	Agpfsny
strana	strana	Ncfsn
svoje	svoj	Px-fpa
obveze	obveza	Ncfpa
proizašle	proizašao	Agpfsgy
iz	iz	Sg
ugovora	ugovor	Ncmsg
izvršava	izvršavati	Vmr3s
protivno	protivno	Rgp
prisilnim	prisilan	Agpfpiy
odredbama	odredba	Ncfpi
važećih	važeći	Agpmpgy
propisa	propis	Ncmpg
.	.	Z

Slijedom	slijed	Ncmsi
navedenog	naveden	Agpmsgy
,	,	Z
razvidno	razvidan	Agpnsny
je	biti	Var3s
da	da	Cs
je	biti	Var3s
inspektor	inspektor	Ncmsn
postupio	postupiti	Vmp-sm
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
svim	sav	Agpfpiy
ovlastima	ovlast	Ncfpi
iz	iz	Sg
članka	članak	Ncmsg
112.	112.	Mdo

Zakona	zakon	Ncmsg
te	te	Cc
da	da	Cs
je	biti	Var3s
i	i	Qo
ovaj	ovaj	Pd-msn
navod	navod	Ncmsn
tužitelja	tužitelj	Ncmsg
neutemeljen	neutemeljen	Agpmsnn
.	.	Z

Slijedom	slijed	Ncmsi
svega	sav	Agpnsgy
iznesenog	iznijeti	Appnsgy
a	a	Cc
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
činjenicu	činjenica	Ncfsa
da	da	Cs
je	biti	Var3s
osporeno	osporiti	Agpnsny
rješenje	rješenje	Ncnsn
inspektora	inspektor	Ncmpg
u	u	Sl
cijelosti	cijelost	Ncfsl
zasnovano	zasnovati	Appnsny
na	na	Sl
zakonu	zakon	Ncmsl
,	,	Z
smatra	smatrati	Vmr3s
da	da	Cs
su	biti	Var3p
navodi	navod	Ncmpn
tužitelja	tužitelj	Ncmsg
paušalni	paušalan	Agpmpny
,	,	Z
ničim	ništa	Pi3n-i
dokazani	dokazati	Appmpny
,	,	Z
te	te	Cc
usmjereni	usmjeriti	Appmpny
na	na	Sa
izigravanje	izigravanje	Ncnsa
nadležnog	nadležan	Agpnsgy
regulatornog	regulatoran	Agpnsgy
tijela	tijelo	Ncnsg
,	,	Z
određenih	određen	Agpfpgy
regulatornih	regulatoran	Agpfpgy
obveza	obveza	Ncfpg
te	te	Cc
predlaže	predlagati	Vmr3s
naslovnom	naslovni	Agpmsdy
sudu	sud	Ncmsd
donijeti	donijeti	Vmn
presudu	presuda	Ncfsa
kojom	koji	Pi-fsi
se	sebe	Px--sa
tužba	tužba	Ncfsn
odbija	odbijati	Vmr3s
kao	kao	Cs
neosnovana	neosnovan	Agpfsny
.	.	Z

U	u	Sl
ovom	ovaj	Pd-msl
upravnom	upravan	Agpmsly
sporu	spor	Ncmsl
Sud	sud	Ncmsn
je	biti	Var3s
održao	održati	Vmp-sm
javnu	javan	Agpfsay
raspravu	rasprava	Ncfsa
dana	dan	Ncmsg
3.	3.	Mdo
svibnja	svibanj	Ncmsg
2016.	2016.	Mdo
u	u	Sl
nazočnosti	nazočnost	Ncfsl
opunomoćenika	opunomoćenik	Ncmpg
tuženika	tuženik	Ncmpg
,	,	Z
a	a	Cc
u	u	Sl
odsutnosti	odsutnost	Ncfsl
opunomoćenika	opunomoćenik	Ncmpg
uredno	uredno	Rgp
pozvanih	pozvan	Agpmpgy
tužitelja	tužitelj	Ncmpg
i	i	Cc
zainteresirane	zainteresiran	Agpfpay
osobe	osoba	Ncfpa
.	.	Z

