pirazolom	pirazol	Ncmsi
cikloalkilmetilnom	cikloalkilmetilno	Ncnsi
,	,	Z
cikloalkiletilnom	cikloalkiletilnom	Pp1-si
,	,	Z
(	(	Z
N-metilpiperidin-2-il	N-metilpiperidin-2-il	Npmsn
)	)	Z
metilnom	metilni	Agpmsly
,	,	Z
2	2	Mdc
-	-	Z
(	(	Z
4-morfolinil	4-morfolinil	Npmsn
)	)	Z
etilnom	etilni	Agpmsly
ili	ili	Cc
(	(	Z
tetrahidropiran-4-il	tetrahidropiran-4-ia	Ncfpn
)	)	Z
metilnom	metilni	Agpfsiy
skupinom	skupina	Ncfsi
;	;	Z
•	•	Z
zamjenom	zamjena	Ncfsi
metanonske	metanonski	Agpfsgy
poveznice	poveznica	Ncfsg
metilenskom	metilenski	Agpfsiy
,	,	Z
etanonskom	etanonski	Agpmsly
,	,	Z
karboksilatnom	karboksilatna	Ncfsi
ili	ili	Cc
karboksamidnom	karboksamidna	Ncfsi
,	,	Z
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
usmjerenje	usmjerenje	Ncnsa
;	;	Z
•	•	Z
zamjenom	zamjena	Ncfsi
1-naftilne	1-naftilan	Agpfsgy
skupine	skupina	Ncfsg
2-naftilnom	2-naftilnoi	Agpnsny
,	,	Z
fenilnom	fenilno	Ncnsi
,	,	Z
benzilnom	benzilno	Ncnsi
,	,	Z
adamantilnom	adamantilno	Ncnsi
,	,	Z
cikloalkilnom	cikloalkilno	Ncnsi
,	,	Z
cikloalkilmetilnom	cikloalkilmetilno	Ncnsi
,	,	Z
cikloalkiletilnom	cikloalkiletilna	Ncfsi
,	,	Z
biciklo	bicikla	Vmp-sn
[	[	Z
2.2.1	2.2.1	Mdc
]	]	Z
heptanilnom	heptanilna	Ncfsi
,	,	Z
1,2,3,4-tetrahidronaftilnom	1,2,3,4-tetrahidronaftiln	Npmsi
,	,	Z
kinolinilnom	kinolinilno	Ncnsi
,	,	Z
izokinolinilnom	izokinolinilna	Ncfsi
,	,	Z
1-amino	1-amin	Agpnsny
-1-oksopropan	-1-oksopropan	Ncnsn
-2-ilnom	-2-iln	Npmsi
,	,	Z
1-hidroksi	1-hidroksa	Ncfsl
-1-oksopropan	-1-oksopropan	Npmsn
-2-ilnom	-2-iln	Npmsi
,	,	Z
piperidinilnom	piperidinilno	Ncnsi
,	,	Z
pirolidinilnom	pirolidinilan	Agpmsly
ili	ili	Cc
piperazinilnom	piperazinilan	Agpfsiy
skupinom	skupina	Ncfsi
,	,	Z
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
to	taj	Pd-nsa
je	biti	Var3s
li	li	Qq
ili	ili	Cc
nije	biti	Var3s
1-naftilna	1-naftilna	Ncfsn
ili	ili	Cc
zamijenjena	zamijeniti	Appfsny
1-naftilna	1-naftilan	Agpfsny
skupina	skupina	Ncfsn
dodatno	dodatno	Rgp
supstituirana	supstituirati	Appfsny
s	sa	Si
jednim	jedan	Mlcmsi
ili	ili	Cc
više	mnogo	Rgc
supstituenata	supstituent	Ncmpg
iz	iz	Sg
skupine	skupina	Ncfsg
koju	koji	Pi-fsa
čine	činiti	Vmr3p
alkil	alkil	Ncmsan
,	,	Z
hidroksialkil	hidroksialkil	Cc
,	,	Z
alkiloksi	alkiloksa	Ncfsl
,	,	Z
aril	ari	Ncmsl
,	,	Z
arilalkil	arilalki	Ncmsl
,	,	Z
halogen	halogiti	Appmsnn
i	i	Cc
nitro	nitro	Agpnsny
.	.	Z
1-pentyl	1-pentyl	Pi3n-n
-3	-i	Agpnsny
-	-	Z
(	(	Z
1-naphthoyl	1-naphthoyl	Npmsn
)	)	Z
indole	indola	Ncfpa
(	(	Z
JWH-018	JWH-018	Mds
)	)	Z
and	and	Xf
compounds	compounds	Xf
structurally	structurally	Xf
derived	derived	Xf
from	from	Xf
it	IT	Xf
in	in	Xf
one	onaj	Pd-fpn
or	oa	Ncfpn
more	more	Ncnsa
of	oa	Ncfsg
the	the	Xf
following	following	Xf
ways	ways	Xf
:	:	Z
•	•	Z
by	by	Xf
replacing	replacing	Xf
the	the	Xf
indole	indole	Xf
core	core	Xf
with	with	Xf
indane	indan	Ncmpa
,	,	Z
indene	indena	Ncfpn
,	,	Z
indazole	indazole	Rgp
,	,	Z
pyrole	pyrole	Rgp
,	,	Z
pyrazole	pyrazole	Rgp
,	,	Z
imidazole	imidazoti	Vmp-pf
,	,	Z
benzimidazole	benzimidazoti	Vmp-pf
or	or	Ncmsan
pyrazolo	pyrazoti	Vmp-sn
[	[	Z
3,4	3,4	Mdc
b	b	Y
]	]	Z
pyridine	pyridina	Ncfsg
,	,	Z
irrespective	irrespective	Xf
of	of	Xf
position	position	Xf
of	of	Xf
substitution	substitution	Xf
at	at	Xf
five-memebred	five-memebred	Xf
ring	ring	Ncmsan
,	,	Z
and	and	Xf
whether	whether	Xf
or	or	Xf
not	not	Xf
the	the	Xf
indole	indole	Xf
or	or	Xf
substituted	substituted	Xf
indole	indole	Xf
core	core	Xf
is	is	Xf
further	further	Xf
substituted	substituted	Xf
with	with	Xf
one	onaj	Pd-fsg
or	or	Agpnsay
more	more	Ncnsa
substituents	substituenta	Ncfsg
from	from	Xf
the	the	Xf
group	group	Xf
consisting	consisting	Xf
of	of	Xf
alkyl	alkyl	Xf
,	,	Z
aryl	aryl	Cc
,	,	Z
haloalkyl	haloalky	Ncmsl
,	,	Z
haloaryl	haloary	Ncmsl
,	,	Z
halogen	halogen	Agpmsnn
,	,	Z
alkyloxy	alkyloxti	Vmr2s
,	,	Z
nitro	nitro	Agpmsny
and	and	Ncmsn
amino	amine	Ncnsg
;	;	Z
•	•	Z
by	by	Xf
replacing	replacing	Xf
the	the	Xf
pentyl	pentyl	Xf
group	group	Xf
with	with	Xf
alkyl	alkyl	Xf
,	,	Z
haloalkyl	haloalkyl	Cc
,	,	Z
cyanoalkyl	cyanoalky	Ncmsl
,	,	Z
alkenyl	alkeny	Ncmsl
,	,	Z
benzyl	benzyl	Cc
,	,	Z
halogenated	halogenate	Ncmsl
benzyl	benzy	Agpmpgy
,	,	Z
cycloalkylmethyl	cycloalkylmethyl	Cc
,	,	Z
cycloalkylethyl	cycloalkylethyl	Cc
,	,	Z
(	(	Z
N-methylpiperidin-2-yl	N-methylpiperidin-2-yl	Npmsn
)	)	Z
methyl	methyl	Rgp
,	,	Z
2	2	Mdc
-	-	Z
(	(	Z
4-morpholinyl	4-morpholinyl	Npmsn
)	)	Z
ethyl	ethyl	Ncmsan
or	or	Ncmsan
(	(	Z
tetrahydropyran-4-yl	tetrahydropyran-4-ya	Ncfpn
)	)	Z
methyl	methyl	Xf
group	group	Xf
;	;	Z
•	•	Z
by	by	Xf
replacing	replacing	Xf
the	the	Xf
methanone	methanone	Xf
link	link	Ncmsan
with	witi	Agpfsgy
methylene	methylena	Ncfsg
,	,	Z
ethanone	ethanon	Agpfpny
,	,	Z
carboxylate	carboxylati	Vmr2p
or	or	Ncmsan
carboxamide	carboxamida	Ncfsg
,	,	Z
irrespective	irrespective	Xf
of	of	Xf
direction	direction	Xf
;	;	Z
•	•	Z
by	by	Xf
replacing	replacing	Xf
the	the	Xf
1-naphthyl	1-naphthyl	Xf
group	group	Xf
by	by	Xf
2-naphthyl	2-naphthyl	Xf
,	,	Z
phenyl	phenyl	Cc
,	,	Z
benzyl	benzy	Ncmsl
,	,	Z
adamantyl	adamanty	Ncmsl
,	,	Z
cycloalkyl	cycloalky	Ncmsl
,	,	Z
cycloalkylmethyl	cycloalkylmethy	Ncmsl
,	,	Z
cycloalkylethyl	cycloalkylethyl	Cc
,	,	Z
bicyclo	bicycti	Vmp-sn
[	[	Z
2.2.1	2.2.1	Mdc
]	]	Z
heptanyl	heptanyl	Agpnsny
,	,	Z
1,2,3,4-tetrahydronaphthyl	1,2,3,4-tetrahydronaphthyi	Agpnsny
,	,	Z
quinolinyl	quinoliny	Ncmsv
,	,	Z
iso	ISO	Agpnsvy
quinolinyl	quinolinyl	Ncnsv
,	,	Z
1-amino	1-amin	Agpnsny
-1-oxopropan	-1-oxopropan	Ncnsn
-2-yl	-2-yi	Agpnsny
,	,	Z
1-hydroxy	1-hydroxy	Npmsn
-1-oxopropan	-1-oxopropan	Npmsn
-2-yl	-2-yl	Npmsn
,	,	Z
piperidinyl	piperidinyl	Cc
,	,	Z
pyrrolidinyl	pyrrolidinyl	Agpmsann
or	or	Ncmsan
piperazinyl	piperazinyl	Agpmsann
group	group	Ncmsan
,	,	Z
whether	whether	Xf
or	or	Xf
not	not	Xf
the	the	Xf
1-naphthyl	1-naphthyl	Xf
or	or	Xf
substituted	substituted	Xf
1-naphthyl	1-naphthyl	Xf
group	group	Xf
is	is	Xf
further	further	Xf
substituted	substituted	Xf
with	with	Xf
one	onaj	Pd-fsg
or	or	Agpnsay
more	more	Ncnsa
substituents	substituenta	Ncfsg
from	from	Xf
the	the	Xf
group	group	Xf
consisting	consisting	Xf
of	of	Xf
alkyl	alkyl	Xf
,	,	Z
hydroxyalkyl	hydroxyalkyl	Cc
,	,	Z
alkyloxy	alkyloxi	Agpnsny
,	,	Z
aryl	ary	Ncmsl
,	,	Z
arylaklyl	arylaklyl	Cc
,	,	Z
halogen	o	Agsmsayn
and	and	Ncmsan
nitro	nitro	Agpnsny
.	.	Z
katinoni	katinoni	Agpmsny
Cathinones	Cathinones	Npmsn
Katinon	Katinon	Npmsn
(	(	Z
2-amino	2-amino	Ncmsn
-1-fenilpropan	-1-fenilpropan	Npmsn
-1-on	-1-on	Npmsn
)	)	Z
i	i	Cc
spojevi	spoj	Ncmpn
strukturno	strukturno	Rgp
izvedeni	izvesti	Appmpny
iz	iz	Sg
njega	on	Pp3msg
supstitucijom	supstitucija	Ncfsi
na	na	Sl
benzenskom	benzenski	Agpmsly
prstenu	prsten	Ncmsl
supstituentom	supstituento	Ncmsg
ili	ili	Cc
supstituentima	supstituent	Ncmpl
iz	iz	Sg
skupine	skupina	Ncfsg
koju	koji	Pi-fsa
čine	činiti	Vmr3p
alkil	alkil	Ncmsan
,	,	Z
halogenalkil	halogenalkil	Cc
,	,	Z
alkiloksi	alkiloksa	Ncfsl
,	,	Z
alkilendioksi	alkilendioksa	Ncfsl
i	i	Cc
halogen	halogen	Agpmsnn
,	,	Z
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
to	taj	Pd-nsa
jesu	biti	Var3p
li	li	Qq
ili	ili	Cc
nisu	biti	Var3p
dodatno	dodatno	Rgp
modificirani	modificirati	Appmpny
na	na	Sa
jedan	jedan	Mlcmsan
ili	ili	Cc
više	mnogo	Rgc
od	od	Sg
sljedećih	sljedeći	Agpmpgy
načina	način	Ncmpg
:	:	Z
•	•	Z
supstitucijom	supstitucija	Ncfsi
na	na	Sl
položaju	položaj	Ncmsl
3	3	Mdc
alkilnim	alkilni	Agpmsiy
supstituentom	supstituent	Ncmsi
;	;	Z
•	•	Z
supstitucijom	supstitucija	Ncfsi
na	na	Sl
dušikovom	dušikov	Agpmsly
atomu	atom	Ncmsl
jednom	jednom	Rgp
ili	ili	Cc
dvjema	dva	Agpfsny
alkilnim	alkilni	Agpmsiy
ili	ili	Cc
benzilnim	benzilan	Agpfpiy
skupinama	skupina	Ncfpi
ili	ili	Cc
uključenjem	uključenje	Ncnsi
dušikova	dušikov	Ncmpg
atoma	atom	Ncmpg
u	u	Sa
prstenastu	prstenast	Agpfsay
strukturu	struktura	Ncfsa
.	.	Z

Cathinone	cathinon	Agpfpny
(	(	Z
2-amino	2-amin	Agpnsny
-1-phenylpropan	-1-phenylpropan	Ncnsn
-1-one	-1-ona	Ncfsg
)	)	Z
and	and	Xf
compounds	compounds	Xf
derived	derived	Xf
from	from	Xf
it	IT	Xf
by	by	Xf
substitution	substitution	Xf
in	in	Xf
the	the	Xf
benzene	benzen	Agpmsny
ring	ring	Ncmsn
with	witi	Agpmpay
one	onaj	Pd-fpn
or	oa	Ncfpn
more	more	Ncnsa
substituents	substituenta	Ncfsg
from	from	Xf
the	the	Xf
group	group	Xf
consisting	consisting	Xf
of	of	Xf
alkyl	alkyl	Xf
,	,	Z
haloalkyl	haloalkyl	Cc
,	,	Z
alkoxy	alkoxi	Agpnsny
,	,	Z
alkylenedioxy	alkylenedioxy	Xf
and	and	Xf
halogen	halogen	Xf
,	,	Z
whether	whether	Xf
or	or	Xf
not	not	Xf
further	further	Xf
modified	modified	Xf
in	in	Xf
one	onaj	Pd-fsg
or	or	Agpnsay
more	more	Ncnsa
of	oa	Ncfsg
the	the	Xf
following	following	Xf
ways	ways	Xf
:	:	Z
•	•	Z
by	by	Xf
substitution	substitution	Xf
at	at	Xf
the	the	Xf
3-position	3-position	Xf
by	by	Xf
an	an	Xf
alkyl	alkyl	Xf
substituent	substituent	Xf
;	;	Z
•	•	Z
by	by	Xf
substitution	substitution	Xf
at	at	Xf
the	the	Xf
nitrogen	nitrogen	Xf
atom	atom	Xf
by	by	Xf
one	onaj	Xf
or	or	Xf
two	two	Xf
alkyl	alkyl	Xf
or	or	Xf
benzyl	benzyl	Xf
group	group	Xf
or	or	Xf
by	by	Xf
inclusion	inclusion	Xf
of	of	Xf
the	the	Xf
amino	amino	Xf
group	group	Xf
in	in	Xf
a	a	Cc
cyclic	cyclii	Agpfsgy
structure	structura	Ncfsg
.	.	Z

Kratom	krat	Ncmsi
(	(	Z
Mitragyna	mitragyan	Agpfsny
speciosa	speciosa	Ncfsn
)	)	Z
Kratom	Krat	Npmsi
(	(	Z
Mitragyna	mitragyan	Agpfsny
speciosa	speciosa	Ncfsn
)	)	Z
lizergid	lizergid	Ncmsan
(	(	Z
dietilamid	dietilamid	Sg
lizerginske	lizerginska	Ncfsg
(	(	Z
lizergične	lizergična	Ncfpn
)	)	Z
kiseline	kiselina	Ncfsg
,	,	Z
LSD	LS	Npmsl
,	,	Z
LSD-25	LSD-25	Mdm
)	)	Z
Lysergide	Lysergida	Npfsg
(	(	Z
lysergic	lysergic	Xf
acid	aci	Ncmsl
diethylamide	diethylamida	Ncfsg
,	,	Z
LSD	LS	Npmsl
,	,	Z
LSD-25	LSD-25	Mdm
)	)	Z
9,10-didehidro	9,10-didehidr	Agpnsny
-	-	Z
N	i	Agpnsny
,	,	Z
N-dietil-6-metilergolin-8β-karboksamid	N-dietil-6-metilergolin-8β-karboksamid	Pi3n-n
9,10-didehydro	9,10-didehydr	Agpnsny
-	-	Z
N	i	Agpnsny
,	,	Z
N-diethyl-6-methylergoline-8β-carboxamide	n-diethyl-6-methylergoline-8β-carboxamida	Ncfpn

