iznimnim	izniman	Agpfpiy
osiguranjem	osiguranje	Ncnsi
dosljednog	dosljedan	Agpmsgy
regulatornog	regulatoran	Agpmsgy
pristupa	pristup	Ncmsg
kroz	kroz	Sa
odgovarajuća	odgovarajući	Agpnpay
razdoblja	razdoblje	Ncnpa
provjere	provjera	Ncfsg
,	,	Z
sprječavanjem	sprječavanje	Ncnsi
diskriminacije	diskriminacija	Ncfsg
u	u	Sl
postupanju	postupanje	Ncnsl
prema	prema	Sl
operatorima	operator	Ncmpl
elektroničkih	elektronički	Agpfpgy
komunikacijskih	komunikacijski	Agpfpgy
mreža	mreža	Ncfpg
i	i	Cc
usluga	usluga	Ncfpg
u	u	Sl
sličnim	sličan	Agpfply
okolnostima	okolnost	Ncfpl
i	i	Cc
zaštitom	zaštita	Ncfsi
tržišnog	tržišni	Agpnsgy
natjecanja	natjecanje	Ncnsg
na	na	Sa
dobrobit	dobrobit	Ncfsa
krajnjih	krajnji	Agpmpgy
korisnika	korisnik	Ncmpg
usluga	usluga	Ncfpg
.	.	Z

U	u	Sl
predmetnom	predmetni	Agpmsly
sporu	spor	Ncmsl
H1	H1	Sg
Telekom	telekom	Ncmsg
–	–	Z
zainteresirana	zainteresiran	Agpfsny
osoba	osoba	Ncfsn
u	u	Sl
ovom	ovaj	Pd-msl
postupku	postupak	Ncmsl
,	,	Z
potraživala	potraživati	Vmp-sf
je	biti	Var3s
naknade	naknada	Ncfpa
zbog	zbog	Sg
povrede	povreda	Ncfsg
utvrđenih	utvrditi	Agpfpgy
regulatornih	regulatoran	Agpfpgy
obveza	obveza	Ncfpg
tužitelja	tužitelj	Ncmpg
radi	radi	Sg
zakašnjenja	zakašnjenje	Ncnsg
u	u	Sl
isporuci	isporuka	Ncfsl
reguliranih	regulirati	Agpfpgy
veleprodajnih	veleprodajni	Agpfpgy
usluga	usluga	Ncfpg
te	te	Cc
zakašnjenja	zakašnjenje	Ncnsg
u	u	Sl
otklonu	otklon	Ncmsl
kvarova	kvar	Ncmpg
i	i	Cc
smetnji	smetnja	Ncfpg
kod	kod	Sg
tih	taj	Pd-fpg
usluga	usluga	Ncfpg
.	.	Z

Navedene	naveden	Agpfpny
obveze	obveza	Ncfpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
regulatornih	regulatoran	Agpfpgy
obveza	obveza	Ncfpg
pristupa	pristup	Ncmsg
i	i	Cc
korištenja	korištenje	Ncnsg
posebnih	poseban	Agpmpgy
dijelova	dio	Ncmpg
mreže	mreža	Ncfsg
prema	prema	Sl
članku	članak	Ncmsl
61.	61.	Mdo

ZEK-a	zek-a	Ncfsn
koja	koji	Pi-fsn
obveza	obveza	Ncfsn
je	biti	Var3s
određena	odrediti	Appfsny
tužitelju	tužitelj	Ncmsd
u	u	Sl
tržištima	tržište	Ncnpl
veleprodajnog	veleprodajni	Agpmsgy
širokopojasnog	širokopojasni	Agpmsgy
pristupa	pristup	Ncmsg
,	,	Z
tržištu	tržište	Ncnsl
veleprodajnog	veleprodajni	Agpnsgy
(	(	Z
fizičkom	fizički	Agpmsly
)	)	Z
pristupa	pristup	Ncmsg
mrežnoj	mrežni	Agpfsly
infrastrukturi	infrastruktura	Ncfsl
(	(	Z
uključujući	uključivati	Rr
dijeljenje	dijeljenje	Ncnsa
ili	ili	Cc
potpuno	potpuno	Rgp
izdvojeni	izdvojiti	Agpmsayn
pristup	pristup	Ncmsan
)	)	Z
na	na	Sl
fiksnoj	fiksan	Agpfsly
lokaciji	lokacija	Ncfsl
i	i	Cc
tržištu	tržište	Ncnsl
pristupa	pristup	Ncmsg
javnoj	javan	Agpfsly
komunikacijskoj	komunikacijski	Agpfsly
mreži	mreža	Ncfsl
na	na	Sl
fiksnoj	fiksan	Agpfsly
lokaciji	lokacija	Ncfsl
za	za	Sa
privatne	privatan	Agpmpay
i	i	Cc
poslovne	poslovan	Agpmpay
korisnike	korisnik	Ncmpa
.	.	Z

Regulatorna	regulatoran	Agpfsny
obveza	obveza	Ncfsn
pristupa	pristup	Ncmsg
je	biti	Var3s
utvrđena	utvrditi	Appfsny
nakon	nakon	Sg
provedene	provesti	Agpfsgy
analize	analiza	Ncfsg
mjerodavnih	mjerodavan	Agpnpgy
tržišta	tržište	Ncnpg
kao	kao	Cs
dokumenta	dokument	Ncmsg
u	u	Sl
kojima	koji	Pi-fpl
su	biti	Var3p
određene	odrediti	Appfpny
regulatorne	regulatoran	Agpfpny
obveze	obveza	Ncfpn
i	i	Cc
definiran	definirati	Appmsnn
njihov	njihov	Ps3msan
sadržaj	sadržaj	Ncmsan
.	.	Z

Navedenom	naveden	Agpfsiy
obvezom	obveza	Ncfsi
propisani	propisati	Appmpny
su	biti	Var3p
rokovi	rok	Ncmpn
i	i	Cc
uvjeti	uvjet	Ncmpn
realizacije	realizacija	Ncfsg
veleprodajnih	veleprodajni	Agpfpgy
usluga	usluga	Ncfpg
te	te	Cc
zabranjeno	zabraniti	Appnsny
svako	svaki	Pi-nsa
postupanje	postupanje	Ncnsa
koje	koji	Pi-nsn
bi	biti	Vaa3s
moglo	moći	Vmp-sn
uskraćivati	uskraćivati	Vmn
,	,	Z
odugovlačiti	odugovlačiti	Vmn
,	,	Z
otežavati	otežavati	Vmn
ili	ili	Cc
neopravdano	neopravdano	Rgp
uvjetovati	uvjetovati	Vmn
drugim	drugi	Mlompd
operatorima	operator	Ncmpd
realizaciju	realizacija	Ncfsa
svojih	svoj	Px-fpg
veleprodajnih	veleprodajni	Agpfpgy
usluga	usluga	Ncfpg
.	.	Z

Zakašnjenje	zakašnjenje	Ncnsn
povlači	povlačiti	Vmr3s
za	za	Si
sobom	sebe	Px--si
obvezu	obveza	Ncfsa
plaćanja	plaćanje	Ncnsg
naknade	naknada	Ncfsg
u	u	Sl
iznosima	iznos	Ncmpl
i	i	Cc
pod	pod	Si
uvjetima	uvjet	Ncmpi
koje	koji	Pi-mpa
je	biti	Var3s
HAKOM	HAKOM	Npmsn
propisao	propisati	Vmp-sm
.	.	Z

Stoga	stoga	Rgp
je	biti	Var3s
spor	spor	Ncmsn
o	o	Sl
naknadama	naknada	Ncfpl
koje	koji	Pi-fpn
su	biti	Var3p
sadržane	sadržati	Appfpny
u	u	Sl
Standardnim	standardan	Agpfply
ponudama	ponuda	Ncfpl
HT-a	HT	Npmsg
neposredno	neposredno	Rgp
vezan	vezan	Agpmsnn
uz	uz	Sa
ZEK	zek	Ncmsan
jer	jer	Cs
naknade	naknada	Ncfpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
samog	sam	Agpmsgy
Zakona	zakon	Ncmsg
što	što	Cs
otklanja	otklanjati	Vmr3s
tužiteljev	tužiteljev	Aspmsnn
prigovor	prigovor	Ncmsn
nenadležnosti	nenadležnost	Ncfsg
.	.	Z

Slijedom	slijed	Sg
toga	taj	Pd-nsg
sudske	sudski	Agpfsgy
odluke	odluka	Ncfsg
na	na	Sa
koje	koji	Pi-fpa
se	sebe	Px--sa
tužitelj	tužitelj	Ncmsn
poziva	pozivati	Vmr3s
nisu	biti	Var3p
mjerodavne	mjerodavan	Agpfsgy
kako	kako	Cs
to	taj	Pd-nsn
osnovano	osnovati	Appnsny
navodi	navoditi	Vmr3s
i	i	Cc
tuženik	tuženik	Ncmsn
.	.	Z

Što	što	Pi3n-n
se	sebe	Px--sa
tiče	ticati	Vmr3s
prigovora	prigovor	Ncmsg
tužitelja	tužitelj	Ncmpg
da	da	Cs
izreka	izreka	Ncfsn
rješenja	rješenje	Ncnsg
nije	biti	Var3s
određena	određen	Agpfsny
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
98.	98.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ZUP-a	ZUP	Npmsg
,	,	Z
valja	valjati	Vmr3s
istaći	istaći	Vmn
da	da	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
posebnom	poseban	Agpnsly
upravnom	upravan	Agpnsly
području	područje	Ncnsl
koje	koji	Pi-nsa
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
svoju	svoj	Px-fsa
složenost	složenost	Ncfsa
traži	tražiti	Vmr3s
povezivanje	povezivanje	Ncnsa
s	sa	Si
odgovarajućim	odgovarajući	Agpmpiy
člancima	članak	Ncmpi
konkretne	konkretan	Agpfpny
Standardne	standardan	Agpfpny
ponude	ponuda	Ncfpn
tužitelja	tužitelj	Ncmpg
.	.	Z

Stoga	stoga	Rgp
Sud	sud	Ncmsn
ocjenjuje	ocjenjivati	Vmr3s
da	da	Cs
je	biti	Var3s
izreka	izreka	Ncfsn
odrediva	odrediv	Agpfsny
jer	jer	Cs
su	biti	Var3p
u	u	Sl
njoj	on	Ncfsl
postavljeni	postavljen	Agpmpny
odgovarajući	odgovarajući	Agpmpny
parametri	parametar	Ncmpn
temeljem	temelj	Ncmsi
kojih	koji	Pi-mpg
se	sebe	Px--sa
obveza	obveza	Ncfsn
može	moći	Vmr3s
bez	bez	Sg
teškoća	teškoća	Ncfpg
utvrditi	utvrditi	Vmn
.	.	Z

U	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
dio	dio	Ncmsan
kojim	koji	Pi-msi
se	sebe	Px--sa
osporava	osporavati	Vmr3s
opravdanost	opravdanost	Ncfsn
naknada	naknada	Ncfpg
za	za	Sa
kašnjenje	kašnjenje	Ncnsa
u	u	Sl
otklanjanju	otklanjanje	Ncnsl
kvarova	kvar	Ncmpg
i	i	Cc
smetnji	smetnja	Ncfpg
za	za	Sa
uslugu	usluga	Ncfsa
veleprodajnog	veleprodajni	Agpmsgy
širokopojasnog	širokopojasni	Agpmsgy
pristupa	pristup	Ncmsg
i	i	Cc
uslugu	usluga	Ncfsa
izdvojenog	izdvojiti	Agpmsgy
pristupa	pristup	Ncmsg
lokalnoj	lokalan	Agpfsly
petlji	petlja	Ncfpg
koje	koji	Pi-fpn
nisu	biti	Var3p
u	u	Sl
području	područje	Ncnsl
odgovornosti	odgovornost	Ncfsg
tužitelja	tužitelj	Ncmpg
te	te	Cc
koje	koji	Pi-mpa
tužitelj	tužitelj	Ncmsn
nije	biti	Var3s
mogao	moći	Vmp-sm
otkloniti	otkloniti	Vmn
zbog	zbog	Sg
nemogućnosti	nemogućnost	Ncfsg
pristupa	pristup	Ncmsg
lokaciji	lokacija	Ncfsl
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
treće	treći	Mlofsg
osobe	osoba	Ncfsg
Sud	sud	Ncmsn
upućuje	upućivati	Vmr3s
na	na	Sa
obrazloženje	obrazloženje	Ncnsa
osporenog	osporiti	Agpnsgy
rješenja	rješenje	Ncnsg
kao	kao	Cs
detaljno	detaljan	Agpnsny
i	i	Cc
razložno	razložno	Rgp
obrazloženo	obrazložiti	Appnsny
u	u	Sl
pogledu	pogled	Ncmsl
izostanka	izostanak	Ncmsg
aktivne	aktivan	Agpfsgy
suradnje	suradnja	Ncfsg
tužitelja	tužitelj	Ncmsg
sa	sa	Si
zainteresiranom	zainteresiran	Agpfsiy
osobom	osoba	Ncfsi
po	po	Sl
tom	taj	Pd-nsl
pitanju	pitanje	Ncnsl
,	,	Z
što	što	Pi3n-n
je	biti	Var3s
osnova	osnova	Ncfsn
za	za	Sa
određivanje	određivanje	Ncnsa
naknade	naknada	Ncfsg
.	.	Z

S	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
sve	sav	Agpnsay
navedeno	navesti	Appnsny
Sud	sud	Ncmsn
ocjenjuje	ocjenjivati	Vmr3s
da	da	Cs
su	biti	Var3p
u	u	Sl
upravnom	upravan	Agpmsly
postupku	postupak	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
prethodio	prethoditi	Vmp-sm
donošenju	donošenje	Ncfsa
rješenja	rješenje	Ncnsg
detaljno	detaljno	Rgp
utvrđene	utvrditi	Appfpny
sve	sav	Agpfpay
odlučne	odlučan	Agpfpay
činjenice	činjenica	Ncfpa
,	,	Z
da	da	Cs
su	biti	Var3p
stranke	stranka	Ncfpn
imale	imati	Vmp-pf
mogućnost	mogućnost	Ncfsa
uvida	uvid	Ncmsg
u	u	Sa
očitovanje	očitovanje	Ncnsa
druge	drugi	Mlofsg
stranke	stranka	Ncfsg
,	,	Z
da	da	Cs
je	biti	Var3s
održana	održati	Appfsny
rasprava	rasprava	Ncfsn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
ZEK	z	Agpfpiy
i	i	Cc
ZUP-a	ZUP	Npmsg
te	te	Cc
da	da	Cs
je	biti	Var3s
osporeno	osporiti	Agpnsny
rješenje	rješenje	Ncnsn
valjano	valjan	Agpnsny
i	i	Cc
detaljno	detaljno	Rgp
obrazloženo	obrazložiti	Appnsny
,	,	Z
te	te	Cc
je	biti	Var3s
stoga	stoga	Rgp
trebalo	trebati	Vmp-sn
temeljem	temelj	Ncmsi
odredbe	odredba	Ncfsg
članka	članak	Ncmsg
57.	57.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ZUS-a	zus-	Ncmsg
odbiti	odbiti	Vmn
tužbeni	tužbeni	Agpmsayn
zahtjev	zahtjev	Ncmsan
tužitelja	tužitelj	Ncmpg
.	.	Z

Objava	objava	Ncfsn
presude	presuda	Ncfsg

