roštilj	roštilj	Ncmsn
okruženju	okruženje	Ncnsl
izvan	izvan	Sg
OPG-a	OPG	Npmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
članka	članak	Ncmsg
12.	12.	Mdo
,	,	Z
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
u	u	Sl
vrsti	vrsta	Ncfsl
Vinotočje	vinotočje	Ncnsa
/	/	Z
Kušaonica	kušaonica	Ncfsn
,	,	Z
jela	jesti	Vmp-sf
se	sebe	Px--sa
može	moći	Vmr3s
pripremati	pripremati	Vmn
na	na	Sa
OPG-u	OPG	Npmsl
(	(	Z
prostorija	prostorija	Ncfsn
za	za	Sa
pripremu	priprema	Ncfsa
bez	bez	Sg
blagovaonice	blagovaonica	Ncfsg
)	)	Z
i	i	Cc
usluživati	usluživati	Vmn
samo	samo	Rgp
na	na	Sl
uređenom	uređen	Agpmsly
prostoru	prostor	Ncmsl
na	na	Sl
otvorenom	otvoren	Agpnsly
i	i	Cc
/	/	Z
ili	ili	Cc
u	u	Sl
tradicijskim	tradicijski	Agpmply
objektima	objekt	Ncmpl
.	.	Z

3.6.2.	3.6.2.	Mdo

Gosti	gost	Ncmpn

Članak	članak	Ncmsn
14.	14.	Mdo

Gosti	gost	Ncmpn
mogu	moći	Vmr3p
sami	sam	Agpmpny
na	na	Sa
svoj	svoj	Px-msan
način	način	Ncmsan
i	i	Cc
svoju	svoj	Px-fsa
odgovornost	odgovornost	Ncfsa
pripremati	pripremati	Vmn
i	i	Cc
konzumirati	konzumirati	Vmn
jela	jelo	Ncnpa
,	,	Z
piće	piće	Ncnsa
i	i	Cc
napitke	napitak	Ncmpa
na	na	Sl
uređenom	uređen	Agpmsly
prostoru	prostor	Ncmsl
na	na	Sl
otvorenom	otvoren	Agpnsly
(	(	Z
trava	trava	Ncfsn
,	,	Z
kamen	kamen	Ncmsn
,	,	Z
terasa	terasa	Ncfsn
i	i	Cc
slično	sličan	Agpnsay
)	)	Z
i	i	Cc
/	/	Z
ili	ili	Cc
u	u	Sl
tradicijskim	tradicijski	Agpmply
objektima	objekt	Ncmpl
u	u	Sl
funkciji	funkcija	Ncfsl
poljoprivredne	poljoprivredni	Agpfsgy
proizvodnje	proizvodnja	Ncfsg
(	(	Z
klijet	klijet	Ncmsn
,	,	Z
pastirska	pastirski	Agpfsny
koliba	koliba	Ncfsn
,	,	Z
katun	katun	Ncmsn
,	,	Z
kažun	kažun	Ncmsan
,	,	Z
ribarska	ribarski	Agpfsny
koliba	koliba	Ncfsn
,	,	Z
štagalj	štagalj	Ncmsn
i	i	Cc
slično	sličan	Agpnsay
)	)	Z
.	.	Z

3.7.	3.7.	Mdo

MINIMALNI	minimalan	Agpmpny
UVJETI	uvjet	Ncmpn
ZA	za	Sa
SOBU	soba	Ncfsa
,	,	Z
APARTMAN	apartman	Ncmsan
I	i	Cc
RURALNU	ruralan	Agpfsay
KUĆU	kuća	Ncfsa
ZA	za	Sa
ODMOR	odmor	Ncmsan

3.7.1.	3.7.1.	Mdo

Sastav	sastav	Ncmsn
i	i	Cc
površina	površina	Ncfsn
objekta	objekt	Ncmsg
–	–	Z
modul	modul	Ncmsan

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Modul	modul	Ncmsn
objekta	objekt	Ncmsg
je	biti	Var3s
funkcionalna	funkcionalan	Agpfsny
cjelina	cjelina	Ncfsn
određene	određen	Agpfsgy
neto-površine	neto-površina	Ncfsg
(	(	Z
na	na	Sl
uporabi	uporaba	Ncfsl
gostu	gost	Ncmsl
)	)	Z
s	sa	Si
ulazom	ulaz	Ncmsi
i	i	Cc
dnevnim	dnevni	Agpnsiy
svjetlom	svjetlo	Ncnsi
u	u	Sl
sobi	soba	Ncfsl
i	i	Cc
prostoriji	prostorija	Ncfsl
za	za	Sa
boravak	boravak	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Soba	soba	Ncfsn
je	biti	Var3s
vrsta	vrsta	Ncfsn
objekta	objekt	Ncmsg
ili	ili	Cc
dio	dio	Ncmsn
modula	modul	Ncmsg
–	–	Z
objekta	objekt	Ncmsg
u	u	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
spava	spavati	Vmr3s
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Modul	modul	Ncmsn
objekta	objekt	Ncmsg
propisan	propisati	Appmsnn
je	biti	Var3s
ovisno	ovisno	Rgp
o	o	Sl
vrsti	vrsta	Ncfsl
i	i	Cc
kategoriji	kategorija	Ncfsl
objekta	objekt	Ncmsg
.	.	Z

3.7.2.	3.7.2.	Mdo

Smještajni	smještajan	Agpmsny
kapacitet	kapacitet	Ncmsn

Članak	članak	Ncmsn
16.	16.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Smještajni	smještajan	Agpmsny
kapacitet	kapacitet	Ncmsn
objekta	objekt	Ncmsg
određuje	određivati	Vmr3s
se	sebe	Px--sa
prema	prema	Sl
broju	broj	Ncmsl
fiksnih	fiksan	Agpmpgy
kreveta	krevet	Ncmpg
,	,	Z
ovisno	ovisno	Rgp
o	o	Sl
površini	površina	Ncfsl
modula	modul	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Objekt	objekt	Ncmsn
ima	imati	Vmr3s
sljedeći	sljedeći	Agpmsayn
kapacitet	kapacitet	Ncmsan
:	:	Z

1.	1.	Mdo
jednokrevetna	jednokrevetni	Agpfsny
soba	soba	Ncfsn
–	–	Z
jedan	jedan	Mlcmsn
krevet	krevet	Ncmsn
(	(	Z
jedna	jedan	Mlcfsn
osoba	osoba	Ncfsn
)	)	Z
,	,	Z
širine	širina	Ncfsg
do	do	Sg
120	120	Mdc
cm	cm	Y
,	,	Z

2.	2.	Mdo
dvokrevetna	dvokrevetan	Agpfsny
soba	soba	Ncfsn
–	–	Z
dva	dva	Mlc
kreveta	krevet	Ncmsg
(	(	Z
dva	dva	Mlc
kreveta	krevet	Ncmsg
za	za	Sa
po	po	Sa
jednu	jedan	Mlcfsa
osobu	osoba	Ncfsa
ili	ili	Cc
jedan	jedan	Mlcmsan
krevet	krevet	Ncmsan
za	za	Sa
dvije	dva	Mlcf-a
osobe	osoba	Ncfsg
)	)	Z
,	,	Z

3.	3.	Mdo
trokrevetna	trokrevetni	Agpfsny
soba	soba	Ncfsn
–	–	Z
tri	tri	Mlc
kreveta	krevet	Ncmsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
površina	površina	Ncfsn
modula	modul	Ncmpg
za	za	Sa
dvokrevetnu	dvokrevetan	Agpfsay
sobu	soba	Ncfsa
veća	velik	Agcfsny
za	za	Sa
3	3	Mdc
m²	m²	Ncmsan
,	,	Z

4.	4.	Mdo
apartman	apartman	Ncmsan
i	i	Cc
ruralna	ruralan	Agpfsny
kuća	kuća	Ncfsn
za	za	Sa
odmor	odmor	Ncmsan
–	–	Z
jedan	jedan	Mlcmsn
,	,	Z
dva	dva	Mlc
ili	ili	Cc
tri	tri	Mlc
kreveta	krevet	Ncmsg
u	u	Sl
svakoj	svaki	Pi-fsl
sobi	soba	Ncfsl
(	(	Z
za	za	Sa
treći	treći	Mlomsan
krevet	krevet	Ncmsan
površina	površina	Ncfsn
modula	modul	Ncmpg
veća	velik	Agcfsny
za	za	Sa
3	3	Mdc
m²	m²	Y
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
jednokrevetnoj	jednokrevetni	Agpfsly
i	i	Cc
dvokrevetnoj	dvokrevetan	Agpfsly
sobi	soba	Ncfsl
može	moći	Vmr3s
se	sebe	Px--sa
namjestiti	namjestiti	Vmn
pomoćni	pomoćan	Agpmsny
krevet	krevet	Ncmsn
,	,	Z
ako	ako	Cs
je	biti	Var3s
površina	površina	Ncfsn
modula	modul	Ncmpg
veća	velik	Agcfsny
za	za	Sa
3	3	Mdc
m²	m²	Ncmsan
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
prostoriji	prostorija	Ncfsl
za	za	Sa
boravak	boravak	Ncmsan
apartmana	apartman	Ncmpg
i	i	Cc
ruralne	ruralan	Agpfsgy
kuće	kuća	Ncfsg
za	za	Sa
odmor	odmor	Ncmsan
mogu	moći	Vmr3p
biti	biti	Van
dva	dva	Mlc
pomoćna	pomoćan	Agpmsgn
kreveta	krevet	Ncmsg
ako	ako	Cs
istih	isti	Agpmpgy
nema	nemati	Vmr3s
u	u	Sl
sobama	soba	Ncfpl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Pomoćni	pomoćan	Agpmsny
krevet	krevet	Ncmsn
(	(	Z
sklopivi	sklopiv	Agpmsny
)	)	Z
namješta	namještati	Vmr3s
se	sebe	Px--sa
na	na	Sa
zahtjev	zahtjev	Ncmsan
gosta	gost	Ncmsg
(	(	Z
trosjed	trosjed	Ncmsn
,	,	Z
dvosjed	dvosjed	Ncmsn
,	,	Z
fotelja	fotelja	Ncfsn
i	i	Cc
slično	sličan	Agpnsay
)	)	Z
.	.	Z

Uz	uz	Sa
njega	on	Pp3msa
se	sebe	Px--sa
ne	ne	Qz
moraju	morati	Vmr3p
nalaziti	nalaziti	Vmn
propisani	propisati	Appmpny
elementi	element	Ncmpn
:	:	Z
noćni	noćni	Agpmsny
ormarić	ormarić	Ncmsn
ili	ili	Cc
polica	polica	Ncfsn
,	,	Z
noćna	noćni	Agpfsny
svjetiljka	svjetiljka	Ncfsn
,	,	Z
tepih	tepih	Ncmsan
uz	uz	Sa
krevet	krevet	Ncmsan
i	i	Cc
mogućnost	mogućnost	Ncfsn
gašenja	gašenje	Ncnsg
i	i	Cc
paljenja	paljenje	Ncnsg
glavnog	glavni	Agpnsgy
osvjetljenja	osvjetljenje	Ncnsg
iz	iz	Sg
kreveta	krevet	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Pomoćni	pomoćan	Agpmsny
krevet	krevet	Ncmsn
ne	ne	Qz
izražava	izražavati	Vmr3s
se	sebe	Px--sa
u	u	Sl
kapacitetu	kapacitet	Ncmsl
objekta	objekt	Ncmsg
.	.	Z

3.8.	3.8.	Mdo

MINIMALNI	minimalan	Agpmpny
UVJETI	uvjet	Ncmpn
ZA	za	Sa
KAMP	kamp	Ncmsan
I	i	Cc
KAMP	kamp	Ncmsn
ODMORIŠTE	odmorište	Ncnsn

3.8.1.	3.8.1.	Mdo

Vrste	vrsta	Ncfpn
i	i	Cc
kapacitet	kapacitet	Ncmsn
smještajnih	smještajan	Agpfpgy
jedinica	jedinica	Ncfpg

Članak	članak	Ncmsn
17.	17.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Osnovne	osnovan	Agpfsgy
vrste	vrsta	Ncfsg
smještajnih	smještajan	Agpfpgy
jedinica	jedinica	Ncfpg
su	biti	Var3p
:	:	Z

1.	1.	Mdo
Kamp	kamp	Ncmsn
mjesto	mjesto	Ncnsn
,	,	Z

2.	2.	Mdo
Kamp	kamp	Ncmsn
parcela	parcela	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kamp	kamp	Ncmsn
mjesto	mjesto	Ncnsn
je	biti	Var3s
pojedinačno	pojedinačan	Agpnsny
ili	ili	Cc
grupno	grupno	Rgp
brojem	broj	Ncmsi
ili	ili	Cc
slično	slično	Rgp
označen	označiti	Appmsnn
i	i	Cc
uređen	urediti	Appmsnn
prostor	prostor	Ncmsn
za	za	Sa
kampiranje	kampiranje	Ncnsa
(	(	Z
očišćen	očistiti	Appmsnn
od	od	Sg
korijenja	korijenje	Ncnsg
,	,	Z
kamenja	kamenje	Ncnsg
i	i	Cc
sl.	sl.	Y
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Kamp	kamp	Ncmsn
parcela	parcela	Ncfpg
je	biti	Var3s
omeđen	omeđiti	Appmsnn
,	,	Z
pojedinačno	pojedinačno	Rgp
brojem	broj	Ncmsi
ili	ili	Cc
slično	slično	Rgp
označen	označiti	Appmsnn
i	i	Cc
uređen	urediti	Appmsnn
prostor	prostor	Ncmsn
za	za	Sa
kampiranje	kampiranje	Ncnsa
(	(	Z
očišćen	očistiti	Appmsnn
od	od	Sg
korijenja	korijenje	Ncnsg
,	,	Z
kamenja	kamenje	Ncnsg
i	i	Cc
sl.	sl.	Y
)	)	Z
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Kapacitet	kapacitet	Ncmsn
objekta	objekt	Ncmsg
izražava	izražavati	Vmr3s
se	sebe	Px--sa
ukupnim	ukupan	Agpmsiy
brojem	broj	Ncmsi
smještajnih	smještajan	Agpfpgy
jedinica	jedinica	Ncfpg
i	i	Cc
kapacitetom	kapacitet	Ncmsi
smještajnih	smještajan	Agpfpgy
jedinica	jedinica	Ncfpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Kapacitet	kapacitet	Ncmsn
smještajne	smještajan	Agpfsgy
jedinice	jedinica	Ncfsg
izražava	izražavati	Vmr3s
se	sebe	Px--sa
brojem	broj	Ncmsi
gostiju	gost	Ncmpg
–	–	Z
kampista	kampist	Ncmpg
:	:	Z

1.	1.	Mdo
kamp	kamp	Ncmsn
mjesto	mjesto	Ncnsn
,	,	Z
tri	tri	Mlc
gosta	gost	Ncmsg
–	a	Ncfsg
kampista	kampist	Ncmpg
,	,	Z

2.	2.	Mdo
kamp	kamp	Ncmsn
parcela	parcela	Ncfsn
,	,	Z
tri	tri	Mlc
gosta	gost	Ncmsg
–	i	Agpmsgy
kampista	kampist	Ncmsg
.	.	Z

3.8.2.	3.8.2.	Mdo

Zajedničke	zajednički	Agpfpny
prostorije	prostorija	Ncfpn
za	za	Sa
osobnu	osoban	Agpfsay
higijenu	higijena	Ncfsa
gostiju	gost	Ncmpg

Članak	članak	Ncmsn
18.	18.	Mdo

Objekt	objekt	Ncmsn
mora	morati	Vmr3s
imati	imati	Vmn
uređen	urediti	Appmsnn
i	i	Cc
opremljen	opremiti	Appmsnn
zajednički	zajednički	Agpmsny
sanitarni	sanitaran	Agpmsny
čvor	čvor	Ncmsn
za	za	Sa
goste	gost	Ncmpa
i	i	Cc
druge	drugi	Agpmpay
sanitarne	sanitaran	Agpmpay
elemente	element	Ncmpa
sukladno	sukladno	Rgp
prilozima	prilog	Ncmpd
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

3.9.	3.9.	Mdo

OZNAČAVANJE	označavanje	Ncnsn
OBJEKTA	objekt	Ncmsg

Članak	članak	Ncmsn
19.	19.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Oznaka	oznaka	Ncfsn
vrste	vrsta	Ncfsg
je	biti	Var3s
naziv	naziv	Ncmsn
vrste	vrsta	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Oznaka	oznaka	Ncfsn
kategorije	kategorija	Ncfsg
je	biti	Var3s
sunce	sunce	Ncnsn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Oznaka	oznaka	Ncfsn
kvalitete	kvaliteta	Ncfsg
je	biti	Var3s
Q.	qi	Agpnsny

(	(	Z
4	4	Mdc
)	)	Z
Oznaka	oznaka	Ncfsn
vrste	vrsta	Ncfsg
,	,	Z
kategorije	kategorija	Ncfsg
i	i	Cc
kvalitete	kvaliteta	Ncfsg
ističu	isticati	Vmr3p
se	sebe	Px--sa
na	na	Sl
ploči	ploča	Ncfsl
,	,	Z
u	u	Sl
blizini	blizina	Ncfsl
objekta	objekt	Ncmsg
i	i	Cc
na	na	Sl
izdvojenom	izdvojiti	Agpmsly
objektu	objekt	Ncmsl
,	,	Z
izrađenoj	izraditi	Appfsly
od	od	Sg
prirodnog	prirodan	Agpmsgy
materijala	materijal	Ncmsg
iz	iz	Sg
kraja	kraj	Ncmsg
u	u	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
objekt	objekt	Ncmsn
nalazi	nalaziti	Vmr3s
(	(	Z
domaći	domaći	Agpmsny
prirodni	prirodan	Agpmsny
materijal	materijal	Ncmsn
)	)	Z
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Na	na	Sl
ploči	ploča	Ncfsl
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
ističu	isticati	Vmr3p
se	sebe	Px--sa
:	:	Z
natpis	natpis	Ncmsn
»	»	Z
OBITELJSKO	obiteljski	Agpnsny
POLJOPRIVREDNO	poljoprivredni	Agpnsny
GOSPODARSTVO	gospodarstvo	Ncnsn
«	«	Z
s	sa	Si
imenom	ime	Ncnsi
gospodarstva	gospodarstvo	Ncnsg
,	,	Z
oznakom	oznaka	Ncfsi
vrste	vrsta	Ncfsg
,	,	Z

