ga	on	Pp3msa
sankcije	sankcija	Ncfpn
neće	htjeti	Var3p
izvršiti	izvršiti	Vmn
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
pravnog	pravni	Agpmsayn
sljednika	sljednik	Ncmsay
jer	jer	Cs
je	biti	Var3s
prema	prema	Sl
stajalištu	stajalište	Ncnsl
suda	sud	Ncmsg
očito	očito	Rgp
da	da	Cs
to	taj	Pd-nsn
ne	ne	Qz
bi	biti	Vaa3s
bilo	biti	Vap-sn
pravično	pravičan	Agpnsny
.	.	Z

U	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
predlagateljevo	predlagateljev	Agpnsay
osporavanje	osporavanje	Ncnsa
pojma	pojam	Ncmsg
»	»	Z
pravično	pravično	Rgp
«	«	Z
,	,	Z
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
podsjeća	podsjećati	Vmr3s
da	da	Cs
članak	članak	Ncmsn
29.	29.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
Ustava	ustav	Ncmsg
u	u	Sl
mjerodavnom	mjerodavan	Agpmsly
dijelu	dio	Ncmsl
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Članak	članak	Ncmsn
29.	29.	Mdo

Svatko	svatko	Pi3m-n
ima	imati	Vmr3s
pravo	pravo	Ncnsa
da	da	Cs
...	...	Z
sud	sud	Ncmsn
pravično	pravično	Rgp
...	...	Z
odluči	odlučiti	Vmr3s
o	o	Sl
njegovim	njegov	Agpnply
pravima	pravo	Ncnpl
i	i	Cc
obvezama	obveza	Ncfpl
,	,	Z
ili	ili	Cc
o	o	Sl
sumnji	sumnja	Ncfsl
ili	ili	Cc
optužbi	optužba	Ncfpg
zbog	zbog	Sg
kažnjivog	kažnjiv	Agpnsgy
djela	djelo	Ncnsg
.	.	Z
«	«	Z

Članak	članak	Ncmsn
6.	6.	Mdo
stavak	stavak	Ncmsan
1.	1.	Mdo
Konvencije	konvencija	Ncfsg
za	za	Sa
zaštitu	zaštita	Ncfsa
ljudskih	ljudski	Agpnpgy
prava	pravo	Ncnpg
i	i	Cc
temeljnih	temeljan	Agpfpgy
sloboda	sloboda	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
–	–	Z
Međunarodni	međunarodni	Agpmpny
ugovori	ugovor	Ncmpn
«	«	Z
broj	broj	Ncmsan
18/97.	18/97.	Mds
,	,	Z
6/99.	6/99.	Mdo
,	,	Z
8/99.	8/99.	Mdo
,	,	Z
14/02.	14/02.	Mdo
i	i	Cc
1/06.	1/06.	Mdo
;	;	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
Konvencija	konvencija	Ncfsn
)	)	Z
jamči	jamčiti	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
pravično	pravičan	Agpnsay
suđenje	suđenje	Ncnsa
(	(	Z
fair	fair	Ncmsn
hearing	hearina	Ncfsg
)	)	Z
,	,	Z
što	što	Pi3n-n
se	sebe	Px--sa
u	u	Sl
praksi	praksa	Ncfsl
Europskog	europski	Agpmsgy
suda	sud	Ncmsg
za	za	Sa
ljudska	ljudski	Agpnpay
prava	pravo	Ncnpa
u	u	Sl
Strasbourgu	Strasbourg	Npmsl
ustalilo	ustaliti	Vmp-sn
kao	kao	Cs
jamstvo	jamstvo	Ncnsn
da	da	Cs
sudski	sudski	Agpmsayn
postupak	postupak	Ncmsan
u	u	Sl
pravilu	pravilo	Ncnsl
mora	morati	Vmr3s
omogućiti	omogućiti	Vmn
priliku	prilika	Ncfsa
strankama	stranka	Ncfpi
za	za	Sa
neposredno	neposredan	Agpnsay
i	i	Cc
kontradiktorno	kontradiktoran	Agpnsay
raspravljanje	raspravljanje	Ncnsa
.	.	Z

Predlagateljevo	predlagateljev	Agpnsay
mišljenje	mišljenje	Ncnsa
o	o	Sl
izostanku	izostanak	Ncmsl
ovlaštenog	ovlašten	Agpmsgy
tužitelja	tužitelj	Ncmsg
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
ocjenjuje	ocjenjivati	Vmr3s
neosnovanim	neosnovan	Agpmsiy
.	.	Z

8.4.	8.4.	Mdo

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
zaključuje	zaključivati	Vmr3s
da	da	Cs
predlagatelj	predlagatelj	Ncmsn
osporava	osporavati	Vmr3s
pojmove	pojam	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
pravni	pravni	Agpmpny
standardi	standard	Ncmpn
i	i	Cc
čija	čiji	Pi-fsn
jasnoća	jasnoća	Ncfsn
,	,	Z
razumljivost	razumljivost	Ncfsn
i	i	Cc
odredivost	odredivost	Ncfsa
nisu	biti	Var3p
upitni	upitni	Agpmpny
u	u	Sl
zakonodavstvu	zakonodavstvo	Ncnsl
,	,	Z
pravnoj	pravni	Agpfsly
praksi	praksa	Ncfsl
i	i	Cc
pravnoj	pravni	Agpfsly
teoriji	teorija	Ncfsl
.	.	Z

Stoga	stoga	Rgp
je	biti	Var3s
članak	članak	Ncmsn
59.	59.	Mdo
stavak	stavak	Ncmsn
3.	3.	Mdo
PZ-a	pz-	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
pretpostavkama	pretpostavka	Ncfpi
odredivosti	odredivost	Ncfsg
zakonskih	zakonski	Agpfpgy
odredaba	odredba	Ncfpg
.	.	Z

U	u	Sl
tom	taj	Pd-msl
smislu	smisao	Ncmsl
predlagatelj	predlagatelj	Ncmsn
se	sebe	Px--sa
upućuje	upućivati	Vmr3s
na	na	Sa
točku	točka	Ncfsa
II	ii	Mrc
.	.	Z
3.	3.	Mdo
rješenja	rješenje	Ncnsg
broj	broj	Ncmsn
:	:	Z
U-I-4433	U-I-4433	X
/	/	Z
2007	2007	Mdc
i	i	Cc
dr.	dr.	Y
od	od	Sg
19.	19.	Mdo
lipnja	lipanj	Ncmsg
2009.	2009.	Mdo
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
77/09.	77/09.	Mds
)	)	Z
.	.	Z

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
utvrđuje	utvrđivati	Vmr3s
da	da	Cs
je	biti	Var3s
članak	članak	Ncmsn
59.	59.	Mdo
stavci	stavak	Ncmpn
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
PZ-a	pz-	Ncmsg
u	u	Sl
suglasnosti	suglasnost	Ncfsl
s	sa	Si
načelima	načelo	Agpfsgy
vladavine	vladavina	Ncfsg
prava	pravo	Ncnsg
i	i	Cc
pravne	pravni	Agpfsgy
sigurnosti	sigurnost	Ncfsg
objektivnog	objektivan	Agpmsgy
pravnog	pravni	Agpmsgy
poretka	poredak	Ncmsg
u	u	Sl
području	područje	Ncnsl
prekršajnog	prekršajni	Agpnsgy
zakonodavstva	zakonodavstvo	Ncnsg
.	.	Z

C	C	Npmsn
)	)	Z
Članak	članak	Ncmsn
71.	71.	Mdo

PZ-a	PZ	Npmsg

9.	9.	Mdo
Suglasnost	suglasnost	Ncfsn
s	sa	Si
Ustavom	ustav	Ncmsi
članka	članak	Ncmsg
71.	71.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
PZ-a	PZ	Npmsg
(	(	Z
Glava	glava	Ncfsn
9.	9.	Mdo
,	,	Z
odjeljak	odjeljak	Ncmsan
»	»	Z
Novčana	novčan	Agpfsny
kazna	kazna	Ncfsn
«	«	Z
)	)	Z
osporava	osporavati	Vmr3s
Franjo	Franjo	Npmsn
Zubović	Zubović	Npmsn
.	.	Z

Članak	članak	Ncmsn
71.	71.	Mdo

PZ-a	PZ	Npmsg
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Članak	članak	Ncmsn
71.	71.	Mdo

1	1	Mdc
)	)	Z
Novčanu	novčan	Agpfsay
kaznu	kazna	Ncfsa
sud	sud	Ncmsn
može	moći	Vmr3s
izreći	izreći	Vmn
počinitelju	počinitelj	Ncmsd
prekršaja	prekršaj	Ncmpg
starijem	star	Agcmsly
maloljetniku	maloljetnik	Ncmsl
koji	koji	Pi-msn
ostvaruje	ostvarivati	Vmr3s
osobne	osoban	Agpmpay
prihode	prihod	Ncmpa
vlastitim	vlastit	Agpmsiy
radom	rad	Ncmsi
ili	ili	Cc
imovinom	imovina	Ncfsi
ako	ako	Cs
utvrdi	utvrditi	Vmr3s
da	da	Cs
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
narav	narav	Ncfsa
i	i	Cc
težinu	težina	Ncfsa
počinjenog	počiniti	Agpmsgy
prekršaja	prekršaj	Ncmsg
treba	trebati	Vmr3s
izreći	izreći	Vmn
tu	taj	Pd-fsa
kaznu	kazna	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Neplaćena	neplaćen	Agpfsny
novčana	novčan	Agpfsny
kazna	kazna	Ncfsn
ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
zamijeniti	zamijeniti	Vmn
mjerom	mjera	Ncfsi
zatvora	zatvor	Ncmsg
ni	ni	Cc
radom	rad	Ncmsi
za	za	Sa
opće	opći	Agpnsay
dobro	dobro	Ncnsa
na	na	Sl
slobodi	sloboda	Ncfsl
,	,	Z
ali	ali	Cc
će	htjeti	Var3s
se	sebe	Px--sa
prisilno	prisilno	Rgp
naplatiti	naplatiti	Vmn
na	na	Sl
imovini	imovina	Ncfsl
maloljetnika	maloljetnik	Ncmpg
,	,	Z
njegova	njegov	Ps3msg
roditelja	roditelj	Ncmsg
ili	ili	Cc
druge	drugi	Mlofsg
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
za	za	Sa
njega	on	Pp3msa
skrbi	skrbiti	Vmr3s
.	.	Z
«	«	Z

9.1.	9.1.	Mdo

U	u	Sl
ovom	ovaj	Pd-msl
dijelu	dio	Ncmsl
prijedloga	prijedlog	Ncmsg
predlagatelj	predlagatelj	Ncmsn
navodi	navoditi	Vmr3s
da	da	Cs
PZ	PZ	Npmsn
uvodi	uvoditi	Vmr3s
kaznu	kazna	Ncfsa
konfiskacije	konfiskacija	Ncfsg
imovine	imovina	Ncfsg
,	,	Z
što	što	Pi3n-n
je	biti	Var3s
nesuglasno	nesuglasno	Rgp
s	sa	Si
člankom	članak	Ncmsi
50.	50.	Mdo
stavkom	stavak	Ncmsi
1.	1.	Mdo
Ustava	ustav	Ncmsg
.	.	Z

Smatra	smatrati	Vmr3s
da	da	Cs
članak	članak	Ncmsn
71.	71.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
PZ-a	pz-	Ncmsg
u	u	Sl
dijelu	dio	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
maloljetnikove	maloljetnikov	Ncmpa
roditelje	roditelj	Ncmpa
i	i	Cc
druge	drugi	Mlofpn
osobe	osoba	Ncfpn
koje	koji	Pi-fpn
o	o	Sl
njemu	on	Ncmsl
skrbe	skrbiti	Ncfsg
uvodi	uvoditi	Vmr3s
»	»	Z
supsidijarnog	supsidijaran	Agpmsgy
kažnjenika	kažnjenik	Ncmsg
«	«	Z
koji	koji	Pi-msn
nije	biti	Var3s
počinio	počiniti	Vmp-sm
prekršaj	prekršaj	Ncmsan
,	,	Z
što	što	Pi3n-n
je	biti	Var3s
u	u	Sl
nesuglasnosti	nesuglasnost	Ncfsl
s	sa	Si
člankom	članak	Ncmsi
28.	28.	Mdo

Ustava	ustava	Ncfsn
(	(	Z
pretpostavka	pretpostavka	Ncfsn
nedužnosti	nedužnost	Ncfsg
)	)	Z
.	.	Z

Time	taj	Pd-nsi
se	sebe	Px--sa
,	,	Z
smatra	smatrati	Vmr3s
,	,	Z
uvodi	uvoditi	Vmr3s
»	»	Z
kolektivna	kolektivan	Agpfsny
odgovornost	odgovornost	Ncfsn
«	«	Z
koja	koji	Pi-fsn
vodi	voditi	Vmr3s
»	»	Z
zastrašivanju	zastrašivanje	Ncnsl
ljudi	čovjek	Ncmpg
«	«	Z
,	,	Z
a	a	Cc
ne	ne	Qz
utječe	utjecati	Vmr3s
se	sebe	Px--sa
pozitivno	pozitivno	Rgp
na	na	Sa
buduće	budući	Agpnsay
ponašanje	ponašanje	Ncnsa
maloljetnog	maloljetan	Agpmsgy
počinitelja	počinitelj	Ncmsg
prekršaja	prekršaj	Ncmsg
.	.	Z

Prijedlog	prijedlog	Ncmsn
nije	biti	Var3s
osnovan	osnovati	Appmsnn
.	.	Z

9.2.	9.2.	Mdo

Članak	članak	Ncmsn
71.	71.	Mdo

PZ-a	PZ	Npmsg
već	već	Rgp
je	biti	Var3s
bio	biti	Vap-sm
predmet	predmet	Ncmsn
ocjene	ocjena	Ncfsg

